method,final_hv_mean,final_hv_sd,final_delta_vs_greedy_mean,final_delta_vs_greedy_sd,wins_vs_greedy,blocks,mean_round_delta_vs_greedy,sd_round_delta_vs_greedy,reaches_greedy_final_n,median_round_to_greedy_final,mean_round_to_greedy_final,median_labeled_n_to_greedy_final,mean_labeled_n_to_greedy_final
qnehvi_mc,200.0821244981554,7.087517119924566,3.1918572319878504,2.845065369348142,8,9,2.778352016872835,2.5350511439022805,8,5.0,5.5,1000.0,1050.0
analytic_ehvi,200.04043918185764,6.84358655709758,3.150171915690117,3.2335135373940664,8,9,2.4437649197048636,2.7729895442132664,8,5.0,5.375,1000.0,1037.5
analytic_pomhi,199.9070841471354,7.005042234434872,3.0168168809678884,3.0304752892486864,8,9,2.3247536553276924,2.60082848880448,8,6.0,5.75,1100.0,1075.0
qnparego_mc,198.32798767089844,7.4534744753432856,1.4377204047309122,2.9201834282232855,5,9,0.32079586452908493,2.6718095415182974,5,6.0,7.0,1100.0,1200.0
greedy_mean,196.89026726616754,8.995510165533604,0.0,0.0,0,9,0.0,0.0,9,10.0,10.0,1500.0,1500.0
random,188.20191446940103,8.793038276418299,-8.688352796766484,3.3688339460297425,0,9,-8.80960676405165,2.6797503899544712,0,,,,
