method,comparison_scope,n_runs,recovery_mean,recovery_ci95_low,recovery_ci95_high,hv_mean,hv_ci95_low,hv_ci95_high
analytic_ehvi,shared_pool_direct,15,0.9763838110478581,0.9633994603121535,0.9876785209666412,206.40958557128906,201.2823150889079,212.04624303181967
analytic_pomhi,shared_pool_direct,15,0.9726190822675578,0.9585894239041829,0.9841476516538197,206.24597778320313,201.22732299804687,211.69735112508138
qpmhi_mc_bnn,legacy_context_only,15,0.6500873782334513,0.5948313505337577,0.7111040645316405,195.901318359375,190.26361874898276,202.40711886088053
random,legacy_context_only,15,0.5342566164729429,0.47641209263014983,0.5910363721539558,192.71985677083333,187.25512367248535,198.80712237040203
