method,comparison_scope,round,n_runs,recovery_mean,recovery_ci95_low,recovery_ci95_high,hv_mean,hv_ci95_low,hv_ci95_high
analytic_ehvi,shared_pool_direct,0,15,0.0,0.0,0.0,165.882275390625,160.2417680867513,171.5786814626058
analytic_ehvi,shared_pool_direct,1,15,0.7571932176566506,0.7031708155133252,0.8046598186828976,189.9864949544271,184.54041038513185,195.43919639587398
analytic_ehvi,shared_pool_direct,2,15,0.9086188662631592,0.8858717605504817,0.9290404536390198,197.57968139648438,192.39249819437663,203.13862429300946
analytic_ehvi,shared_pool_direct,3,15,0.9341935602699313,0.9177767528677805,0.9509881425957197,199.6947784423828,194.41813463846844,205.41787923177083
analytic_ehvi,shared_pool_direct,4,15,0.9545080984279292,0.9380033081161052,0.9694812174777309,201.46285095214844,196.24121818542483,207.06686698913572
analytic_ehvi,shared_pool_direct,5,15,0.9608962755405629,0.9448644301991347,0.9755499180758874,202.46631774902343,197.35731140136718,207.92527610778808
analytic_ehvi,shared_pool_direct,6,15,0.959248980672161,0.9418716366477283,0.9755549343986877,203.40453287760414,198.5350466664632,208.78355550130206
analytic_ehvi,shared_pool_direct,7,15,0.9632250891780317,0.9484405959705348,0.9764900840825589,204.2896240234375,199.36453361511232,209.61492261250814
analytic_ehvi,shared_pool_direct,8,15,0.9680039874445214,0.9544755743265799,0.9796262141505084,204.82965189615885,199.99027453104657,209.93895637512207
analytic_ehvi,shared_pool_direct,9,15,0.9728405306239926,0.9599052807244326,0.9839762918308511,205.51822408040366,200.47133728027342,211.10757886250812
analytic_ehvi,shared_pool_direct,10,15,0.9763838110478581,0.9631906892140447,0.9877760888436811,206.40958557128906,201.19913210550945,212.03228927612304
analytic_pomhi,shared_pool_direct,0,15,0.0,0.0,0.0,165.882275390625,160.28025011698406,171.52200726826987
analytic_pomhi,shared_pool_direct,1,15,0.7793574531119631,0.7417933573217832,0.8156835175832761,190.75701599121095,185.06005363464357,196.5234365081787
analytic_pomhi,shared_pool_direct,2,15,0.8981723730439514,0.8701962607163095,0.9258546849831338,197.1938903808594,191.90746312459308,203.00638664245605
analytic_pomhi,shared_pool_direct,3,15,0.9250948369416055,0.8994697890364451,0.9484066608971314,199.32952880859375,194.0919197845459,205.27628039042153
analytic_pomhi,shared_pool_direct,4,15,0.954362366496488,0.9374058018379725,0.9696893308504619,201.42095235188802,196.30959416707358,206.96916425069173
analytic_pomhi,shared_pool_direct,5,15,0.9585095380449531,0.9428514688835468,0.9725942155068422,202.36260681152345,197.26761861165363,207.91539693196614
analytic_pomhi,shared_pool_direct,6,15,0.9570816764619295,0.9411365440211232,0.9724336008669466,203.3085744222005,198.42828844706216,208.6715793863932
analytic_pomhi,shared_pool_direct,7,15,0.9608939345565091,0.9476290912771872,0.9734996801023732,204.19205627441406,199.50892992655437,209.5717785644531
analytic_pomhi,shared_pool_direct,8,15,0.9658154990257117,0.9531833980001099,0.9773796188579217,204.74041951497395,199.92016174316407,209.94370376586915
analytic_pomhi,shared_pool_direct,9,15,0.9699724461140008,0.9568054964418676,0.9811123663470311,205.3989725748698,200.39586227416993,210.8519319152832
analytic_pomhi,shared_pool_direct,10,15,0.9726190822675578,0.9588477722483995,0.9843415173875789,206.24597778320313,201.1997459665934,211.662740427653
qpmhi_mc_bnn,legacy_context_only,0,15,0.0,0.0,0.0,178.56820576985677,172.89972498575844,184.24857098897297
qpmhi_mc_bnn,legacy_context_only,1,15,0.6999224383361973,0.6482440629473475,0.7581045549074967,190.29517822265626,184.8665680185954,196.42534698486327
qpmhi_mc_bnn,legacy_context_only,2,15,0.6514874916606612,0.6046357258764548,0.6971277721799942,191.2987487792969,185.9059112548828,197.42372754414876
qpmhi_mc_bnn,legacy_context_only,3,15,0.6434784553601293,0.5922905461208466,0.6949666728011397,192.3639404296875,186.6183356221517,198.70554237365724
qpmhi_mc_bnn,legacy_context_only,4,15,0.6430130265781064,0.5894036729956437,0.7016321649268303,193.06539408365884,187.51479825337728,199.66187896728513
qpmhi_mc_bnn,legacy_context_only,5,15,0.6463227944386268,0.5816010465063991,0.7161862422405565,194.009716796875,188.31191065470375,200.53080403645833
qpmhi_mc_bnn,legacy_context_only,6,15,0.6476517727852029,0.5808460469359447,0.7193125067973367,194.60663045247395,188.93638712565104,201.00336265563962
qpmhi_mc_bnn,legacy_context_only,7,15,0.6406944602495622,0.57475629734763,0.7086610500218352,194.89584350585938,189.1507607777913,201.4462034861247
qpmhi_mc_bnn,legacy_context_only,8,15,0.6398214249155928,0.5796513030314674,0.7061983142010179,195.1562520345052,189.44449460347494,201.70778366088868
qpmhi_mc_bnn,legacy_context_only,9,15,0.6412809519631254,0.5803592733553932,0.7059377553054599,195.44702555338543,189.6751699320475,201.9754707590739
qpmhi_mc_bnn,legacy_context_only,10,15,0.6500873782334513,0.5948286011774593,0.7106506769848766,195.901318359375,190.22159075419108,202.30208506266277
random,legacy_context_only,0,15,0.0,0.0,0.0,178.56820576985677,172.93470194498698,184.3758600362142
random,legacy_context_only,1,15,0.37245613013444245,0.28631595640802804,0.4648285860853056,185.39393005371093,180.25432014465332,191.0091370900472
random,legacy_context_only,2,15,0.4143743762259804,0.3260321605651234,0.5054121292444621,186.97893473307292,181.73514536539713,192.8647472890218
random,legacy_context_only,3,15,0.43445649718298834,0.3544728566059587,0.5138302284134135,188.2030008951823,182.86109189351401,194.11076479593913
random,legacy_context_only,4,15,0.44954130580731194,0.3711343748767034,0.5301359906550351,188.90055338541666,183.8375670369466,194.65350354512535
random,legacy_context_only,5,15,0.493638070519399,0.42821997064982537,0.5601163411058624,190.27222696940103,185.13975626627604,196.2385359954834
random,legacy_context_only,6,15,0.4964036975023926,0.42831674061884095,0.5649538923252092,190.77707010904948,185.27704933166504,196.93025952657064
random,legacy_context_only,7,15,0.49371116671431103,0.42792780820179277,0.5569998710527853,191.04747721354167,185.55434870402019,197.16486740112305
random,legacy_context_only,8,15,0.5024410162730522,0.4383462303421172,0.5658293825883444,191.48868916829426,185.91189806620278,197.72325202941894
random,legacy_context_only,9,15,0.5148290505071057,0.4466851485045108,0.5828544957332628,191.97930297851562,186.40917757670084,198.2814410909017
random,legacy_context_only,10,15,0.5342566164729429,0.4777055273467672,0.5920257433900293,192.71985677083333,187.21544649759926,198.8342907969157
