target,seed,method,label,top10_dock_cutoff,round1_front_yield,front_yield_auc5,joint_top10_hit_auc5,joint_top10_hits5,round1_mean_dock,round1_mean_sa,final_selected_front_count,final_selected_front_mean_dock
JAK2,43,analytic_ehvi,Analytic EHVI,-9.6,0.14,0.156,0.194,97,-8.090999999999998,2.392666221802873,71,-9.918309859154931
KIT,43,analytic_ehvi,Analytic EHVI,-9.4,0.08,0.10400000000000001,0.174,87,-7.7509999999999994,2.5121396886814638,52,-9.734615384615385
PARP1,43,analytic_ehvi,Analytic EHVI,-10.7,0.21,0.16999999999999998,0.10600000000000001,53,-8.540999999999999,2.530945281855898,60,-10.478333333333333
ESR2,44,analytic_ehvi,Analytic EHVI,-8.9,0.17,0.122,0.146,73,-8.025,2.6415293391144177,50,-9.394
F2,44,analytic_ehvi,Analytic EHVI,-9.4,0.13,0.09999999999999999,0.184,92,-7.702000000000001,2.379814532988032,43,-9.244186046511627
JAK2,44,analytic_ehvi,Analytic EHVI,-9.6,0.19,0.182,0.188,94,-8.337,2.522323325558005,65,-10.013846153846153
KIT,44,analytic_ehvi,Analytic EHVI,-9.4,0.14,0.10800000000000001,0.17200000000000001,86,-7.886,2.513614255168881,44,-9.706818181818184
PARP1,44,analytic_ehvi,Analytic EHVI,-10.7,0.19,0.148,0.15599999999999997,78,-8.585,2.466864586347814,69,-10.62608695652174
ESR2,42,analytic_pomhi,Analytic PoMHI,-8.9,0.14,0.098,0.13,65,-7.84,2.3470052978795097,52,-9.178846153846154
F2,42,analytic_pomhi,Analytic PoMHI,-9.4,0.08,0.08399999999999999,0.13599999999999998,68,-7.745000000000001,2.4930769321743362,55,-9.319999999999999
JAK2,42,analytic_pomhi,Analytic PoMHI,-9.6,0.16,0.14200000000000002,0.182,91,-8.001999999999999,2.4096237273998597,65,-9.758461538461537
KIT,42,analytic_pomhi,Analytic PoMHI,-9.4,0.15,0.07200000000000001,0.17600000000000002,88,-8.050999999999998,2.3770626965657935,46,-10.01086956521739
PARP1,42,analytic_pomhi,Analytic PoMHI,-10.7,0.16,0.11800000000000002,0.16399999999999998,82,-8.584,2.4339211359520503,60,-10.578333333333335
ESR2,43,analytic_pomhi,Analytic PoMHI,-8.9,0.14,0.11599999999999999,0.154,77,-7.8260000000000005,2.4703273934395047,61,-9.344262295081968
F2,43,analytic_pomhi,Analytic PoMHI,-9.4,0.16,0.12599999999999997,0.18200000000000002,91,-7.95,2.4643547798551837,43,-9.481395348837209
JAK2,43,analytic_pomhi,Analytic PoMHI,-9.6,0.19,0.156,0.22399999999999998,112,-8.264999999999999,2.360540366574669,72,-9.940277777777778
KIT,43,analytic_pomhi,Analytic PoMHI,-9.4,0.08,0.088,0.15999999999999998,80,-7.829999999999999,2.459255859450614,52,-9.746153846153847
PARP1,43,analytic_pomhi,Analytic PoMHI,-10.7,0.24,0.16999999999999998,0.09,45,-8.633999999999999,2.4614138087116526,60,-10.708333333333336
ESR2,44,analytic_pomhi,Analytic PoMHI,-8.9,0.15,0.11000000000000001,0.15400000000000003,77,-7.962000000000001,2.4541416539304555,45,-9.45111111111111
F2,44,analytic_pomhi,Analytic PoMHI,-9.4,0.14,0.10600000000000001,0.188,94,-7.8180000000000005,2.3388074949733717,39,-9.433333333333332
JAK2,44,analytic_pomhi,Analytic PoMHI,-9.6,0.18,0.154,0.244,122,-8.183,2.53589786763874,55,-10.156363636363636
KIT,44,analytic_pomhi,Analytic PoMHI,-9.4,0.15,0.094,0.2,100,-8.104999999999999,2.4329828558180533,43,-9.572093023255816
PARP1,44,analytic_pomhi,Analytic PoMHI,-10.7,0.22,0.128,0.174,87,-8.813000000000002,2.504222772170653,68,-10.851470588235296
