target,method,round,recovery_mean,recovery_std,n_runs
ESR2,analytic_ehvi,0,0.0,0.0,3
ESR2,analytic_ehvi,1,0.6815827006268401,0.08118093467978012,3
ESR2,analytic_ehvi,2,0.9141515115227677,0.028158051433614134,3
ESR2,analytic_ehvi,3,0.9285384302292611,0.0237112594935149,3
ESR2,analytic_ehvi,4,0.9500949245746169,0.02899836266935411,3
ESR2,analytic_ehvi,5,0.953947515699308,0.0327725629461679,3
ESR2,analytic_ehvi,6,0.9567734451669999,0.039055517280190945,3
ESR2,analytic_ehvi,7,0.9521118869478397,0.0092182010545245,3
ESR2,analytic_ehvi,8,0.957745875273706,0.015406905079158952,3
ESR2,analytic_ehvi,9,0.9673266233508047,0.027436012978894555,3
ESR2,analytic_ehvi,10,0.9638706879889144,0.03604995525897766,3
ESR2,analytic_pomhi,0,0.0,0.0,3
ESR2,analytic_pomhi,1,0.7000001702009344,0.048769377319179956,3
ESR2,analytic_pomhi,2,0.9138711423609654,0.02677054519822469,3
ESR2,analytic_pomhi,3,0.9152166965799428,0.02921093234028498,3
ESR2,analytic_pomhi,4,0.9458752505099873,0.034086357630303155,3
ESR2,analytic_pomhi,5,0.9485631865291658,0.03446632585880943,3
ESR2,analytic_pomhi,6,0.9511914351052804,0.04068401929309397,3
ESR2,analytic_pomhi,7,0.9469101034876216,0.00932314381624272,3
ESR2,analytic_pomhi,8,0.9535582518548882,0.017800013208095208,3
ESR2,analytic_pomhi,9,0.9644060965249666,0.025441690429136722,3
ESR2,analytic_pomhi,10,0.9598108014128425,0.032857876456953546,3
ESR2,qpmhi_mc_bnn,0,0.0,0.0,3
ESR2,qpmhi_mc_bnn,1,0.6852839652055619,0.11407537280505045,3
ESR2,qpmhi_mc_bnn,2,0.6965170108988644,0.12060507904342259,3
ESR2,qpmhi_mc_bnn,3,0.7150162282731879,0.10873657683824531,3
ESR2,qpmhi_mc_bnn,4,0.7417481382175647,0.17006114889876597,3
ESR2,qpmhi_mc_bnn,5,0.7215180734346561,0.24295434097873356,3
ESR2,qpmhi_mc_bnn,6,0.728270833526964,0.24488780186542308,3
ESR2,qpmhi_mc_bnn,7,0.7015714355723685,0.22048124933798952,3
ESR2,qpmhi_mc_bnn,8,0.7019964435434333,0.20091070084500703,3
ESR2,qpmhi_mc_bnn,9,0.6872664014804662,0.22540521822830575,3
ESR2,qpmhi_mc_bnn,10,0.742315663010266,0.15219393254575878,3
ESR2,random,0,0.0,0.0,3
ESR2,random,1,0.5078068301764497,0.12833045118285974,3
ESR2,random,2,0.5439907115189637,0.1674467740291215,3
ESR2,random,3,0.5333128397025487,0.19341539242443503,3
ESR2,random,4,0.5235929833587606,0.18310963285485304,3
ESR2,random,5,0.5887129899651383,0.07086286266264677,3
ESR2,random,6,0.5692087478416793,0.056282813735223564,3
ESR2,random,7,0.5515495614089583,0.03525097431248096,3
ESR2,random,8,0.552063428090699,0.021268170386297972,3
ESR2,random,9,0.5796868817226422,0.026238044089886798,3
ESR2,random,10,0.5609549250922212,0.04073730675204522,3
F2,analytic_ehvi,0,0.0,0.0,3
F2,analytic_ehvi,1,0.804159506507735,0.025440411294019763,3
F2,analytic_ehvi,2,0.9056849325005517,0.03790897237558443,3
F2,analytic_ehvi,3,0.9490600372155097,0.03165519683353355,3
F2,analytic_ehvi,4,0.9757557819178247,0.031897064211564644,3
F2,analytic_ehvi,5,0.9840163203904931,0.021657897650376644,3
F2,analytic_ehvi,6,0.9846253759344057,0.021289143699395184,3
F2,analytic_ehvi,7,0.9846400228731215,0.018486667803665514,3
F2,analytic_ehvi,8,0.985215657884377,0.01662809176051275,3
F2,analytic_ehvi,9,0.9856256325702769,0.016956842728771657,3
F2,analytic_ehvi,10,0.9827581476160444,0.02286099164458744,3
F2,analytic_pomhi,0,0.0,0.0,3
F2,analytic_pomhi,1,0.805880479995737,0.02579403505599827,3
F2,analytic_pomhi,2,0.8636988953500642,0.0220569162828566,3
F2,analytic_pomhi,3,0.9296920678280186,0.04987212447705651,3
F2,analytic_pomhi,4,0.9821942087165106,0.008910123094453612,3
F2,analytic_pomhi,5,0.9881260132889088,0.006516259515898755,3
F2,analytic_pomhi,6,0.9889254560157109,0.006244958365723354,3
F2,analytic_pomhi,7,0.9891075921476039,0.004598558558215102,3
F2,analytic_pomhi,8,0.9896712953614996,0.0038253323010979654,3
F2,analytic_pomhi,9,0.9904729591308586,0.003921532284624672,3
F2,analytic_pomhi,10,0.9871914155947357,0.009186834718598384,3
F2,qpmhi_mc_bnn,0,0.0,0.0,3
F2,qpmhi_mc_bnn,1,0.7571756526951315,0.18999513689754252,3
F2,qpmhi_mc_bnn,2,0.6177811942602172,0.12780767063452492,3
F2,qpmhi_mc_bnn,3,0.5970426037004678,0.14511828436828664,3
F2,qpmhi_mc_bnn,4,0.6186665949884288,0.08891761117127507,3
F2,qpmhi_mc_bnn,5,0.6423045218249008,0.07414209866429106,3
F2,qpmhi_mc_bnn,6,0.6512073528825205,0.040469970663874824,3
F2,qpmhi_mc_bnn,7,0.621803047551217,0.07832394913192231,3
F2,qpmhi_mc_bnn,8,0.5957434028372828,0.056991192180024595,3
F2,qpmhi_mc_bnn,9,0.5942407464044591,0.06862689030675477,3
F2,qpmhi_mc_bnn,10,0.5948202352368354,0.044957341898462504,3
F2,random,0,0.0,0.0,3
F2,random,1,0.22416057326547312,0.08586852368072867,3
F2,random,2,0.21022985382463197,0.08766856944752283,3
F2,random,3,0.2662341045724148,0.03677363121484336,3
F2,random,4,0.33100091002675686,0.035873836913100206,3
F2,random,5,0.3629716228175915,0.06151022905483768,3
F2,random,6,0.3594717450953937,0.08314233320380497,3
F2,random,7,0.370758093235801,0.11947477423216712,3
F2,random,8,0.3813093199900051,0.09379486564922844,3
F2,random,9,0.3821239149563538,0.10242731055239528,3
F2,random,10,0.47337441338302305,0.09171397119242766,3
JAK2,analytic_ehvi,0,0.0,0.0,3
JAK2,analytic_ehvi,1,0.8183801532192773,0.06016678776112242,3
