target,seed,method,source_method,round,base_hv,upper_hv,hv,gain_ratio,gap_to_upper
ESR2,42,upper_bound,random,0,173.93540954589844,173.93540954589844,173.93540954589844,0.0,0.0
ESR2,42,upper_bound,random,1,173.93540954589844,183.78427124023438,183.78427124023438,1.0,0.0
ESR2,42,upper_bound,random,2,173.93540954589844,184.281494140625,184.281494140625,1.0,0.0
ESR2,42,upper_bound,random,3,173.93540954589844,185.73727416992188,185.73727416992188,1.0,0.0
ESR2,42,upper_bound,random,4,173.93540954589844,186.13992309570312,186.13992309570312,1.0,0.0
ESR2,42,upper_bound,random,5,173.93540954589844,188.8538055419922,188.8538055419922,1.0,0.0
ESR2,42,upper_bound,random,6,173.93540954589844,189.08009338378906,189.08009338378906,1.0,0.0
ESR2,42,upper_bound,random,7,173.93540954589844,189.72381591796875,189.72381591796875,1.0,0.0
ESR2,42,upper_bound,random,8,173.93540954589844,190.0047607421875,190.0047607421875,1.0,0.0
ESR2,42,upper_bound,random,9,173.93540954589844,191.7615509033203,191.7615509033203,1.0,0.0
ESR2,42,upper_bound,random,10,173.93540954589844,194.8154296875,194.8154296875,1.0,0.0
ESR2,42,random,random,10,173.93540954589844,194.8154296875,184.79786682128903,0.5202321262970493,10.017562866210966
F2,42,upper_bound,random,0,170.15879821777344,170.15879821777344,170.15879821777344,0.0,0.0
F2,42,upper_bound,random,1,170.15879821777344,183.9816131591797,183.9816131591797,1.0,0.0
F2,42,upper_bound,random,2,170.15879821777344,191.3467254638672,191.3467254638672,1.0,0.0
F2,42,upper_bound,random,3,170.15879821777344,194.61181640625,194.61181640625,1.0,0.0
F2,42,upper_bound,random,4,170.15879821777344,194.97666931152344,194.97666931152344,1.0,0.0
F2,42,upper_bound,random,5,170.15879821777344,195.2117919921875,195.2117919921875,1.0,0.0
F2,42,upper_bound,random,6,170.15879821777344,195.44483947753906,195.44483947753906,1.0,0.0
F2,42,upper_bound,random,7,170.15879821777344,195.55221557617188,195.55221557617188,1.0,0.0
F2,42,upper_bound,random,8,170.15879821777344,197.26260375976562,197.26260375976562,1.0,0.0
F2,42,upper_bound,random,9,170.15879821777344,197.39283752441406,197.39283752441406,1.0,0.0
F2,42,upper_bound,random,10,170.15879821777344,198.6370849609375,198.6370849609375,1.0,0.0
F2,42,random,random,10,170.15879821777344,198.6370849609375,186.6137542724609,0.5778070922274609,12.023330688476591
JAK2,42,upper_bound,random,0,180.6273193359375,180.6273193359375,180.6273193359375,0.0,0.0
JAK2,42,upper_bound,random,1,180.6273193359375,196.73521423339844,196.73521423339844,1.0,0.0
JAK2,42,upper_bound,random,2,180.6273193359375,199.25558471679688,199.25558471679688,1.0,0.0
JAK2,42,upper_bound,random,3,180.6273193359375,200.47206115722656,200.47206115722656,1.0,0.0
