method,label,round1_front_yield_mean,round1_front_yield_std,round1_front_yield_count,front_yield_auc5_mean,front_yield_auc5_std,front_yield_auc5_count,joint_top10_hit_auc5_mean,joint_top10_hit_auc5_std,joint_top10_hit_auc5_count,joint_top10_hits5_mean,joint_top10_hits5_std,joint_top10_hits5_count,round1_mean_dock_mean,round1_mean_dock_std,round1_mean_dock_count,round1_mean_sa_mean,round1_mean_sa_std,round1_mean_sa_count,final_selected_front_count_mean,final_selected_front_count_std,final_selected_front_count_count,final_selected_front_mean_dock_mean,final_selected_front_mean_dock_std,final_selected_front_mean_dock_count
analytic_ehvi,Analytic EHVI,0.14266666666666666,0.03712270515594517,15,0.12866666666666665,0.028652266593628864,15,0.15853333333333333,0.02439515955110377,15,79.26666666666667,12.197579775551885,15,-8.0026,0.3291510291644246,15,2.4996494619377603,0.06670816652852916,15,57.666666666666664,9.37067360489756,15,-9.765593124049557,0.46780574799401103,15
analytic_pomhi,Analytic PoMHI,0.156,0.042560880764248424,15,0.11746666666666666,0.028710044699837487,15,0.17053333333333331,0.03756492791852274,15,85.26666666666667,18.782463959261374,15,-8.1072,0.33121167163699383,15,2.4361756428356296,0.058938683897984026,15,54.4,9.934068365262759,15,-9.835420325622783,0.5309664181811578,15
qpmhi_mc_bnn,MC qPMHI (BNN),0.14666666666666667,0.06275424478149058,15,0.10146666666666666,0.03370855479943728,15,0.06613333333333334,0.015165122893697635,15,33.06666666666667,7.58256144684882,15,-7.933000000000001,0.40765286352834235,15,2.430022876143548,0.07783941999127106,15,40.733333333333334,8.697016456124206,15,-9.14044146080284,0.40319913505934707,15
random,Random,0.106,0.04188419408662072,15,0.07306666666666667,0.020422210131782175,15,0.06146666666666667,0.016431097114342437,15,30.733333333333334,8.21554855717122,15,-7.9532,0.3436117410267416,15,2.616192634396126,0.08821484750278884,15,33.4,9.537894346837176,15,-9.217675473243522,0.5500836282594191,15
