target,seed,method,round,hv,base_hv,upper_hv,recovery
ESR2,42,analytic_ehvi,0,152.30740356445312,152.30740356445312,152.30740356445312,0.0
ESR2,42,analytic_ehvi,1,175.892822265625,152.30740356445312,190.34532165527344,0.6200501995103602
ESR2,42,analytic_ehvi,2,186.6813201904297,152.30740356445312,190.99220275878906,0.8885639150741526
ESR2,42,analytic_ehvi,3,189.6074981689453,152.30740356445312,193.05113220214844,0.9154806359568883
ESR2,42,analytic_ehvi,4,191.61541748046875,152.30740356445312,193.923583984375,0.9445368008160279
ESR2,42,analytic_ehvi,5,193.29742431640625,152.30740356445312,195.08409118652344,0.9582326970731747
ESR2,42,analytic_ehvi,6,193.46307373046875,152.30740356445312,195.26646423339844,0.9580207184503607
ESR2,42,analytic_ehvi,7,193.48553466796875,152.30740356445312,195.2821807861328,0.9581930091482196
ESR2,42,analytic_ehvi,8,193.5858917236328,152.30740356445312,195.37794494628906,0.9583926004837262
ESR2,42,analytic_ehvi,9,196.12063598632807,152.30740356445312,196.53543090820312,0.990621446472139
ESR2,42,analytic_ehvi,10,196.4576568603516,152.30740356445312,196.7374725341797,0.9937021102978986
ESR2,43,analytic_ehvi,0,148.5709228515625,148.5709228515625,148.5709228515625,0.0
ESR2,43,analytic_ehvi,1,173.72120666503906,148.5709228515625,187.1979217529297,0.6511063382815997
ESR2,43,analytic_ehvi,2,186.40272521972656,148.5709228515625,190.1638946533203,0.9095719956842614
ESR2,43,analytic_ehvi,3,186.8515167236328,148.5709228515625,190.4430389404297,0.9142263980837649
ESR2,43,analytic_ehvi,4,187.43344116210935,148.5709228515625,190.61727905273438,0.924277911850628
ESR2,43,analytic_ehvi,5,188.13873291015625,148.5709228515625,191.6148223876953,0.9192431560569672
ESR2,43,analytic_ehvi,6,190.96304321289065,148.5709228515625,194.7945556640625,0.9171092314030387
ESR2,43,analytic_ehvi,7,192.17379760742188,148.5709228515625,194.88278198242188,0.9415056008149995
ESR2,43,analytic_ehvi,8,192.1998291015625,148.5709228515625,194.8848419189453,0.9420257911347052
ESR2,43,analytic_ehvi,9,192.2067413330078,148.5709228515625,195.13641357421875,0.9370849056727428
ESR2,43,analytic_ehvi,10,192.71197509765625,148.5709228515625,196.3523406982422,0.923812105947398
ESR2,44,analytic_ehvi,0,152.67543029785156,152.67543029785156,152.67543029785156,0.0
ESR2,44,analytic_ehvi,1,177.9629364013672,152.67543029785156,185.36387634277344,0.7735915640885602
ESR2,44,analytic_ehvi,2,185.90573120117188,152.67543029785156,187.86514282226562,0.9443186238098893
ESR2,44,analytic_ehvi,3,188.19122314453125,152.67543029785156,189.82940673828125,0.9559082566471301
ESR2,44,analytic_ehvi,4,190.048583984375,152.67543029785156,190.75418090820312,0.9814700610571947
ESR2,44,analytic_ehvi,5,191.8658447265625,152.67543029785156,192.48825073242188,0.9843666939677821
ESR2,44,analytic_ehvi,6,195.0274658203125,152.67543029785156,195.23214721679688,0.9951903856476002
ESR2,44,analytic_ehvi,7,195.0880279541016,152.67543029785156,197.01052856445312,0.9566370508803002
ESR2,44,analytic_ehvi,8,195.892333984375,152.67543029785156,197.09982299804688,0.9728192342026869
ESR2,44,analytic_ehvi,9,196.19732666015625,152.67543029785156,197.3465576171875,0.9742735179075321
ESR2,44,analytic_ehvi,10,196.2271881103516,152.67543029785156,197.38526916503906,0.9740978477214467
ESR2,42,analytic_pomhi,0,152.30740356445312,152.30740356445312,152.30740356445312,0.0
ESR2,42,analytic_pomhi,1,178.80255126953125,152.30740356445312,190.34532165527344,0.6965456848037168
ESR2,42,analytic_pomhi,2,187.04586791992188,152.30740356445312,190.99220275878906,0.8979874544768222
ESR2,42,analytic_pomhi,3,188.7852783203125,152.30740356445312,193.05113220214844,0.8953003560432795
ESR2,42,analytic_pomhi,4,191.4222869873047,152.30740356445312,193.923583984375,0.9398960459169643
ESR2,42,analytic_pomhi,5,192.65452575683597,152.30740356445312,195.08409118652344,0.943203516570695
ESR2,42,analytic_pomhi,6,192.81741333007807,152.30740356445312,195.26646423339844,0.9429910508939325
ESR2,42,analytic_pomhi,7,192.84657287597656,152.30740356445312,195.2821807861328,0.943324711199956
ESR2,42,analytic_pomhi,8,193.0726776123047,152.30740356445312,195.37794494628906,0.9464769362068763
ESR2,42,analytic_pomhi,9,195.7930908203125,152.30740356445312,196.53543090820312,0.9832156184104484
ESR2,42,analytic_pomhi,10,195.99522399902344,152.30740356445312,196.7374725341797,0.9832940044351046
ESR2,43,analytic_pomhi,0,148.5709228515625,148.5709228515625,148.5709228515625,0.0
ESR2,43,analytic_pomhi,1,173.79627990722656,148.5709228515625,187.1979217529297,0.653049881511018
ESR2,43,analytic_pomhi,2,185.9566345214844,148.5709228515625,190.1638946533203,0.8988468496098636
ESR2,43,analytic_pomhi,3,186.32281494140625,148.5709228515625,190.4430389404297,0.9015998142945799
ESR2,43,analytic_pomhi,4,187.0506591796875,148.5709228515625,190.61727905273438,0.9151741031735952
ESR2,43,analytic_pomhi,5,188.04608154296875,148.5709228515625,191.6148223876953,0.9170906706133627
ESR2,43,analytic_pomhi,6,190.87628173828125,148.5709228515625,194.7945556640625,0.9152322375509687
ESR2,43,analytic_pomhi,7,192.09999084472656,148.5709228515625,194.88278198242188,0.9399119104713066
ESR2,43,analytic_pomhi,8,192.1240081787109,148.5709228515625,194.8848419189453,0.9403886823695998
ESR2,43,analytic_pomhi,9,192.1309967041016,148.5709228515625,195.13641357421875,0.935458279866148
ESR2,43,analytic_pomhi,10,192.63787841796875,148.5709228515625,196.3523406982422,0.9222613633569362
ESR2,44,analytic_pomhi,0,152.67543029785156,152.67543029785156,152.67543029785156,0.0
ESR2,44,analytic_pomhi,1,177.2050018310547,152.67543029785156,185.36387634277344,0.7504049442880683
ESR2,44,analytic_pomhi,2,185.92193603515625,152.67543029785156,187.86514282226562,0.9447791229962106
ESR2,44,analytic_pomhi,3,187.92526245117188,152.67543029785156,189.82940673828125,0.9487499194019687
ESR2,44,analytic_pomhi,4,190.0899200439453,152.67543029785156,190.75418090820312,0.9825556024394027
ESR2,44,analytic_pomhi,5,191.90679931640625,152.67543029785156,192.48825073242188,0.9853953724034397
ESR2,44,analytic_pomhi,6,195.0343017578125,152.67543029785156,195.23214721679688,0.9953510168709396
ESR2,44,analytic_pomhi,7,195.12600708007807,152.67543029785156,197.01052856445312,0.9574936887916023
ESR2,44,analytic_pomhi,8,195.93630981445312,152.67543029785156,197.09982299804688,0.9738091369881882
ESR2,44,analytic_pomhi,9,196.2094268798828,152.67543029785156,197.3465576171875,0.9745443912983033
ESR2,44,analytic_pomhi,10,196.21731567382807,152.67543029785156,197.38526916503906,0.9738770364464866
ESR2,42,qpmhi_mc_bnn,0,173.93540954589844,173.93540954589844,173.93540954589844,0.0
ESR2,42,qpmhi_mc_bnn,1,179.53213500976562,173.93540954589844,183.78427124023438,0.5682611491118669
ESR2,42,qpmhi_mc_bnn,2,179.84779357910156,173.93540954589844,184.281494140625,0.5714610178440537
ESR2,42,qpmhi_mc_bnn,3,180.93653869628903,173.93540954589844,185.73727416992188,0.5932222893100602
ESR2,42,qpmhi_mc_bnn,4,181.01597595214844,173.93540954589844,186.13992309570312,0.5801596579294479
ESR2,42,qpmhi_mc_bnn,5,181.05345153808597,173.93540954589844,188.8538055419922,0.47713185747658965
ESR2,42,qpmhi_mc_bnn,6,181.2481384277344,173.93540954589844,189.08009338378906,0.4828578107084799
ESR2,42,qpmhi_mc_bnn,7,181.24855041503903,173.93540954589844,189.72381591796875,0.4631968988382223
ESR2,42,qpmhi_mc_bnn,8,181.9078369140625,173.93540954589844,190.0047607421875,0.4961262760879329
ESR2,42,qpmhi_mc_bnn,9,181.9464874267578,173.93540954589844,191.7615509033203,0.4494005584402022
ESR2,42,qpmhi_mc_bnn,10,186.3195343017578,173.93540954589844,194.8154296875,0.5931088510391386
ESR2,43,qpmhi_mc_bnn,0,158.84103393554688,158.84103393554688,158.84103393554688,0.0
ESR2,43,qpmhi_mc_bnn,1,179.38453674316406,158.84103393554688,184.64414978027344,0.7961636467177163
ESR2,43,qpmhi_mc_bnn,2,180.60357666015625,158.84103393554688,185.638427734375,0.8121141513978524
ESR2,43,qpmhi_mc_bnn,3,181.2217559814453,158.84103393554688,186.73538208007812,0.8023389516017864
ESR2,43,qpmhi_mc_bnn,4,185.0854034423828,158.84103393554688,187.39315795898438,0.9191739810773026
ESR2,43,qpmhi_mc_bnn,5,187.4390869140625,158.84103393554688,188.53741455078125,0.9630147642923427
ESR2,43,qpmhi_mc_bnn,6,188.23326110839844,158.84103393554688,189.06036376953125,0.9726300131182042
ESR2,43,qpmhi_mc_bnn,7,188.2891998291016,158.84103393554688,191.62725830078125,0.8981871643866609
ESR2,43,qpmhi_mc_bnn,8,188.3545837402344,158.84103393554688,191.72337341308594,0.897550182670164
ESR2,43,qpmhi_mc_bnn,9,188.6333465576172,158.84103393554688,192.02841186523438,0.8977001040934856
ESR2,43,qpmhi_mc_bnn,10,188.6333465576172,158.84103393554688,192.04208374023438,0.8973304397701327
ESR2,44,qpmhi_mc_bnn,0,160.93531799316406,160.93531799316406,160.93531799316406,0.0
ESR2,44,qpmhi_mc_bnn,1,176.29766845703125,160.93531799316406,183.1536407470703,0.6914270997871025
ESR2,44,qpmhi_mc_bnn,2,177.31393432617188,160.93531799316406,184.13528442382812,0.7059758634546869
ESR2,44,qpmhi_mc_bnn,3,180.53103637695312,160.93531799316406,187.080810546875,0.7494874439077172
ESR2,44,qpmhi_mc_bnn,4,180.77276611328125,160.93531799316406,188.2629852294922,0.7259107756459435
ESR2,44,qpmhi_mc_bnn,5,181.2563018798828,160.93531799316406,188.9871826171875,0.724407598535036
ESR2,44,qpmhi_mc_bnn,6,183.98638916015625,160.93531799316406,192.54136657714844,0.7293246767542076
ESR2,44,qpmhi_mc_bnn,7,184.6734313964844,160.93531799316406,192.87013244628906,0.7433302434922221
ESR2,44,qpmhi_mc_bnn,8,184.69940185546875,160.93531799316406,194.29718017578125,0.7123128718722029
ESR2,44,qpmhi_mc_bnn,9,184.81954956054688,160.93531799316406,194.3539276123047,0.7146985419077111
ESR2,44,qpmhi_mc_bnn,10,185.6395568847656,160.93531799316406,194.47772216796875,0.7365076982215268
ESR2,42,random,0,173.93540954589844,173.93540954589844,173.93540954589844,0.0
ESR2,42,random,1,177.48529052734375,173.93540954589844,183.78427124023438,0.360435661665027
ESR2,42,random,2,177.60516357421875,173.93540954589844,184.281494140625,0.3546997895407505
ESR2,42,random,3,177.60653686523438,173.93540954589844,185.73727416992188,0.3110633307776745
ESR2,42,random,4,177.76177978515625,173.93540954589844,186.13992309570312,0.31352091368844826
ESR2,42,random,5,181.498046875,173.93540954589844,188.8538055419922,0.5069336764543435
ESR2,42,random,6,181.69329833984372,173.93540954589844,189.08009338378906,0.5122516175963839
ESR2,42,random,7,182.00582885742188,173.93540954589844,189.72381591796875,0.5111611090654474
ESR2,42,random,8,182.53826904296875,173.93540954589844,190.0047607421875,0.5353582351885491
ESR2,42,random,9,184.7927398681641,173.93540954589844,191.7615509033203,0.6090678910579393
ESR2,42,random,10,184.79786682128903,173.93540954589844,194.8154296875,0.5202321262970493
ESR2,43,random,0,158.84103393554688,158.84103393554688,158.84103393554688,0.0
ESR2,43,random,1,174.19154357910156,158.84103393554688,184.64414978027344,0.5949091472490483
ESR2,43,random,2,176.86952209472656,158.84103393554688,185.638427734375,0.6727702064806053
ESR2,43,random,3,177.34893798828125,158.84103393554688,186.73538208007812,0.6635001455075369
ESR2,43,random,4,177.38278198242188,158.84103393554688,187.39315795898438,0.6493999546812941
ESR2,43,random,5,177.46734619140625,158.84103393554688,188.53741455078125,0.6272249974565586
ESR2,43,random,6,177.72183227539062,158.84103393554688,189.06036376953125,0.6247920931261216
ESR2,43,random,7,177.7300567626953,158.84103393554688,191.62725830078125,0.5761268091356638
ESR2,43,random,8,177.7814483642578,158.84103393554688,191.72337341308594,0.5760056835873423
ESR2,43,random,9,177.80429077148438,158.84103393554688,192.02841186523438,0.5713996711675758
ESR2,43,random,10,178.81832885742188,158.84103393554688,192.04208374023438,0.6017067243173286
ESR2,44,random,0,160.93531799316406,160.93531799316406,160.93531799316406,0.0
ESR2,44,random,1,173.5570068359375,160.93531799316406,183.1536407470703,0.5680756816152737
ESR2,44,random,2,174.95974731445312,160.93531799316406,184.13528442382812,0.6045021385355356
ESR2,44,random,3,177.2860565185547,160.93531799316406,187.080810546875,0.6253750428224347
ESR2,44,random,4,177.54666137695312,160.93531799316406,188.2629852294922,0.6078580817065394
ESR2,44,random,5,178.66354370117188,160.93531799316406,188.9871826171875,0.6319802959845127
ESR2,44,random,6,178.96917724609375,160.93531799316406,192.54136657714844,0.5705825328025321
ESR2,44,random,7,179.0538787841797,160.93531799316406,192.87013244628906,0.5673607660257636
ESR2,44,random,8,179.1117401123047,160.93531799316406,194.29718017578125,0.5448263654962054
ESR2,44,random,9,179.60272216796875,160.93531799316406,194.3539276123047,0.5585930829424114
ESR2,44,random,10,179.7501220703125,160.93531799316406,194.47772216796875,0.5609259246622859
F2,42,analytic_ehvi,0,157.5509490966797,157.5509490966797,157.5509490966797,0.0
F2,42,analytic_ehvi,1,181.9474029541016,157.5509490966797,187.0118408203125,0.8280962465861704
F2,42,analytic_ehvi,2,188.6067352294922,157.5509490966797,190.31993103027344,0.9477189799715768
F2,42,analytic_ehvi,3,191.8155059814453,157.5509490966797,192.62075805664062,0.9770385953309678
F2,42,analytic_ehvi,4,195.47344970703125,157.5509490966797,195.65719604492188,0.9951780520884096
F2,42,analytic_ehvi,5,195.9188995361328,157.5509490966797,196.04293823242188,0.9967775451704602
F2,42,analytic_ehvi,6,196.033203125,157.5509490966797,196.15225219726562,0.9969159312587088
F2,42,analytic_ehvi,7,196.1161956787109,157.5509490966797,196.28953552246094,0.9955253957425079
F2,42,analytic_ehvi,8,197.48585510253903,157.5509490966797,197.7084197998047,0.9944577013101491
F2,42,analytic_ehvi,9,197.64874267578125,157.5509490966797,197.83447265625,0.9953894306143777
F2,42,analytic_ehvi,10,197.67042541503903,157.5509490966797,197.85562133789062,0.9954051003877851
F2,43,analytic_ehvi,0,155.98800659179688,155.98800659179688,155.98800659179688,0.0
F2,43,analytic_ehvi,1,182.0567321777344,155.98800659179688,188.29371643066406,0.8069386407530378
F2,43,analytic_ehvi,2,187.6951446533203,155.98800659179688,191.4051513671875,0.8952482833555498
F2,43,analytic_ehvi,3,190.1900634765625,155.98800659179688,193.37954711914062,0.9147003948594813
F2,43,analytic_ehvi,4,191.1819610595703,155.98800659179688,193.4705352783203,0.9389429075639488
F2,43,analytic_ehvi,5,193.19651794433597,155.98800659179688,194.78689575195312,0.9590097076993027
F2,43,analytic_ehvi,6,193.29006958007807,155.98800659179688,194.84259033203125,0.9600427902578318
F2,43,analytic_ehvi,7,195.27734375,155.98800659179688,196.7744140625,0.9632948718620206
F2,43,analytic_ehvi,8,196.1519927978516,155.98800659179688,197.56478881835938,0.9660195920692203
F2,43,analytic_ehvi,9,196.15733337402344,155.98800659179688,197.56919860839844,0.9660455805641334
F2,43,analytic_ehvi,10,196.2242889404297,155.98800659179688,198.05996704101562,0.9563681349529309
F2,44,analytic_ehvi,0,156.98765563964844,156.98765563964844,156.98765563964844,0.0
F2,44,analytic_ehvi,1,181.6339569091797,156.98765563964844,188.6893768310547,0.7774436321839966
F2,44,analytic_ehvi,2,185.1363525390625,156.98765563964844,189.19117736816406,0.8740875341745282
F2,44,analytic_ehvi,3,191.0090484619141,156.98765563964844,192.595703125,0.9554411214560802
F2,44,analytic_ehvi,4,194.34022521972656,156.98765563964844,194.59799194335938,0.993146386101116
F2,44,analytic_ehvi,5,195.15171813964844,156.98765563964844,195.294921875,0.9962617083017162
F2,44,analytic_ehvi,6,197.5560302734375,156.98765563964844,197.6814727783203,0.9969174062866764
F2,44,analytic_ehvi,7,198.09439086914065,156.98765563964844,198.29681396484375,0.9950998010148361
F2,44,analytic_ehvi,8,198.31790161132807,156.98765563964844,198.5185089111328,0.9951696802737621
F2,44,analytic_ehvi,9,198.3454742431641,156.98765563964844,198.53485107421875,0.9954418865323197
F2,44,analytic_ehvi,10,198.58660888671875,156.98765563964844,198.732666015625,0.9965012075074174
F2,42,analytic_pomhi,0,157.5509490966797,157.5509490966797,157.5509490966797,0.0
F2,42,analytic_pomhi,1,181.9474029541016,157.5509490966797,187.0118408203125,0.8280962465861704
F2,42,analytic_pomhi,2,185.1162109375,157.5509490966797,190.31993103027344,0.8411998241715668
F2,42,analytic_pomhi,3,188.15576171875,157.5509490966797,192.62075805664062,0.8726826158936796
F2,42,analytic_pomhi,4,195.0235595703125,157.5509490966797,195.65719604492188,0.9833718477846949
F2,42,analytic_pomhi,5,195.5924530029297,157.5509490966797,196.04293823242188,0.9882966497807232
F2,42,analytic_pomhi,6,195.706298828125,157.5509490966797,196.15225219726562,0.9884471939204079
F2,42,analytic_pomhi,7,195.85850524902344,157.5509490966797,196.28953552246094,0.9888733608216886
F2,42,analytic_pomhi,8,197.227783203125,157.5509490966797,197.7084197998047,0.9880312034532024
F2,42,analytic_pomhi,9,197.4168243408203,157.5509490966797,197.83447265625,0.9896322794402014
F2,42,analytic_pomhi,10,197.43826293945312,157.5509490966797,197.85562133789062,0.9896449127302229
F2,43,analytic_pomhi,0,155.98800659179688,155.98800659179688,155.98800659179688,0.0
F2,43,analytic_pomhi,1,182.2187347412109,155.98800659179688,188.29371643066406,0.8119533135240289
F2,43,analytic_pomhi,2,187.34228515625,155.98800659179688,191.4051513671875,0.885285326168908
