panel_id,compound_id,compound_name,cell_line,plate_id,source_sheet,source_formula,normalization_reference_signal_cell,blank_mean_cell,treatment_od_1,treatment_od_2,treatment_od_3,reference_od_1,reference_od_2,reference_od_3,blank_od_1,blank_od_2,blank_od_3,treatment_mean,reference_mean,blank_mean,inhibition_fraction,inhibition_pct,reported_inhibition_fraction,absolute_delta
M6,T60904,ERCC1-XPF-IN-2,DLD-1,2,DLD-1 2,=1-B18/$E$19,E19,F10,0.9582,1.1542,1.1488,1.2616,1.2981,1.2321,0.1864,0.1788,0.1814,1.0870666666666666,1.2639333333333334,0.1822,0.16350301984469384,16.350301984469382,0.163503019844694,1.6653345369377348e-16
M1,T9335,"1,1'-Methylenedi-2-naphthol",HT-29,1,HT-29 1,=1-H19/$I$19,I19,J10,1.6869,1.5923,1.5255,2.0381,1.867,1.7652,0.1886,0.1846,0.1829,1.6015666666666668,1.8901000000000001,0.18536666666666665,0.16925423331117284,16.925423331117283,0.169254233311173,1.6653345369377348e-16
M2,T61189,E7016,HT-29,1,HT-29 1,=1-D19/$I$19,I19,J10,1.3559,1.319,1.1808,2.0381,1.867,1.7652,0.1886,0.1846,0.1829,1.2852333333333334,1.8901000000000001,0.18536666666666665,0.3548160025028352,35.48160025028352,0.354816002502835,1.6653345369377348e-16
M3,T12502,PLpro inhibitor,HT-29,2,HT-29 2,=1-D18/$E$19,E19,F10,1.7374,1.8137,1.8327,2.0179,1.8466,1.8658,0.1952,0.1847,0.1932,1.7946,1.9101,0.19103333333333333,0.06718762118979293,6.718762118979294,0.0671876211897929,2.7755575615628914e-17
M4,T6853,GSK591,HT-29,2,HT-29 2,=1-E18/$E$19,E19,F10,1.4457,1.6134,1.6367,2.0179,1.8466,1.8658,0.1952,0.1847,0.1932,1.5652666666666666,1.9101,0.19103333333333333,0.20059334522609173,20.059334522609173,0.200593345226092,2.7755575615628914e-16
M5,T6980,Scriptaid,HT-29,2,HT-29 2,=1-J18/$E$19,E19,F10,0.3842,0.3813,0.3302,2.0179,1.8466,1.8658,0.1952,0.1847,0.1932,0.3652333333333333,1.9101,0.19103333333333333,0.8986659427596371,89.8665942759637,0.898665942759637,1.1102230246251565e-16
M6,T60904,ERCC1-XPF-IN-2,HT-29,2,HT-29 2,=1-B18/$E$19,E19,F10,1.8353,1.9799,1.919,2.0179,1.8466,1.8658,0.1952,0.1847,0.1932,1.9114,1.9101,0.19103333333333333,-0.0007562243077638975,-0.07562243077638975,-0.000756224307763897,4.336808689942018e-19
M1,T9335,"1,1'-Methylenedi-2-naphthol",SW480,1,SW480 1,=1-H19/$I$19,I19,J10,0.9403,0.9325,0.9319,1.183,1.1657,1.154,0.3476,0.3241,0.3378,0.9349,1.1675666666666666,0.3365,0.27996149526712666,27.996149526712667,0.279961495267127,3.3306690738754696e-16
M2,T61189,E7016,SW480,1,SW480 1,=1-D19/$I$19,I19,J10,0.7714,0.773,0.7877,1.183,1.1657,1.154,0.3476,0.3241,0.3378,0.7773666666666667,1.1675666666666666,0.3365,0.4695170864752126,46.951708647521265,0.469517086475213,3.885780586188048e-16
M3,T12502,PLpro inhibitor,SW480,2,SW480 2,=1-D18/$E$19,E19,F10,1.0953,1.1118,1.1238,1.1675,1.1665,1.1679,0.3461,0.316,0.3284,1.1102999999999998,1.1673,0.33016666666666666,0.06808951182607326,6.808951182607325,0.0680895118260733,4.163336342344337e-17
M4,T6853,GSK591,SW480,2,SW480 2,=1-E18/$E$19,E19,F10,0.9703,1.0821,1.0824,1.1675,1.1665,1.1679,0.3461,0.316,0.3284,1.0449333333333333,1.1673,0.33016666666666666,0.14617344907223073,14.617344907223073,0.14617344907223,7.216449660063518e-16
M5,T6980,Scriptaid,SW480,2,SW480 2,=1-J18/$E$19,E19,F10,0.5196,0.5098,0.5093,1.1675,1.1665,1.1679,0.3461,0.316,0.3284,0.5129,1.1673,0.33016666666666666,0.7817153778768814,78.17153778768814,0.781715377876881,4.440892098500626e-16
M6,T60904,ERCC1-XPF-IN-2,SW480,2,SW480 2,=1-B18/$E$19,E19,F10,0.9629,0.9579,0.9694,1.1675,1.1665,1.1679,0.3461,0.316,0.3284,0.9634,1.1673,0.33016666666666666,0.24356932388309305,24.356932388309303,0.243569323883093,5.551115123125783e-17
M1,T9335,"1,1'-Methylenedi-2-naphthol",LoVo,1,LOVO 1,=1-H19/$I$19,I19,J10,1.336,1.2923,1.363,1.5127,1.511,1.5146,0.2342,0.2221,0.2346,1.3304333333333334,1.5127666666666666,0.2303,0.14217393564485103,14.217393564485103,0.142173935644851,2.7755575615628914e-17
M2,T61189,E7016,LoVo,1,LOVO 1,=1-D19/$I$19,I19,J10,0.3414,0.3501,0.355,1.5127,1.511,1.5146,0.2342,0.2221,0.2346,0.34883333333333333,1.5127666666666666,0.2303,0.9075739460414826,90.75739460414826,0.907573946041483,4.440892098500626e-16
M3,T12502,PLpro inhibitor,LoVo,2,LOVO 2,=1-D18/$E$19,E19,F10,1.4035,1.3341,1.3208,1.4387,1.4317,1.3892,0.2089,0.1969,0.2136,1.3528,1.4198666666666666,0.20646666666666666,0.055271688368770944,5.527168836877094,0.0552716883687709,4.163336342344337e-17
M4,T6853,GSK591,LoVo,2,LOVO 2,=1-E18/$E$19,E19,F10,1.0991,1.077,1.0754,1.4387,1.4317,1.3892,0.2089,0.1969,0.2136,1.0838333333333332,1.4198666666666666,0.20646666666666666,0.27693533322344943,27.693533322344944,0.276935333223449,4.440892098500626e-16
M5,T6980,Scriptaid,LoVo,2,LOVO 2,=1-J18/$E$19,E19,F10,0.2596,0.269,0.2524,1.4387,1.4317,1.3892,0.2089,0.1969,0.2136,0.26033333333333336,1.4198666666666666,0.20646666666666666,0.9556068347892973,95.56068347892973,0.955606834789297,3.3306690738754696e-16
M6,T60904,ERCC1-XPF-IN-2,LoVo,2,LOVO 2,=1-B18/$E$19,E19,F10,1.1035,1.1238,1.1202,1.4387,1.4317,1.3892,0.2089,0.1969,0.2136,1.1158333333333332,1.4198666666666666,0.20646666666666666,0.25056315587055666,25.056315587055668,0.250563155870557,3.3306690738754696e-16
