target,method,round,hv_mean,hv_sd,delta_vs_greedy_round_hv_mean,threshold_rate_mean,mean_selected_dock_mean,candidate_test_spearman_mean,candidate_test_cov2_mean,train_seconds_mean,score_seconds_mean
ESR2,analytic_ehvi,1,175.52588500976563,1.476319473306238,0.0667938232421875,0.0,-7.764799999999999,0.4786314851234528,0.9783919411505924,82.88153448440134,3.346463438868523
ESR2,analytic_ehvi,2,181.9759735107422,4.723053481669161,2.3837249755859373,0.022,-8.3766,0.5191813315454368,0.9579949450113965,110.13476612530648,3.2821403108537197
ESR2,analytic_ehvi,3,186.1604217529297,2.4859850728009816,3.085330200195324,0.034,-8.5436,0.5135802525025192,0.9627718904314649,117.39693322703242,3.3272477012127637
ESR2,analytic_ehvi,4,188.47931213378905,3.12162896731075,4.160250854492188,0.016,-8.5126,0.511559643399351,0.9558687849485319,136.33722142465413,3.2415944397449494
ESR2,analytic_ehvi,5,189.79195861816407,3.273739472655826,4.146194458007824,0.012,-8.6032,0.5422613199388227,0.9521926615206338,160.21920151896774,3.2877386629581453
ESR2,analytic_ehvi,6,192.1145233154297,2.483196582317894,5.647885131835937,0.022,-8.584399999999999,0.5444320773643667,0.9415038424717361,201.68622421845794,3.337823576852679
ESR2,analytic_ehvi,7,193.5135711669922,2.36625843158359,5.657531738281245,0.022000000000000002,-8.624600000000001,0.5465926489957856,0.9565215625640038,191.7883961569518,3.307991799339652
ESR2,analytic_ehvi,8,193.69118957519532,2.206192645680245,5.566995239257795,0.018,-8.552,0.5722373185715584,0.9346627161564435,238.89911772161722,3.3659673403948545
ESR2,analytic_ehvi,9,194.30691833496093,2.493779847754755,5.834118652343756,0.028000000000000004,-8.630600000000001,0.580425933835048,0.9455472882190084,259.5297382220626,3.248659283295274
ESR2,analytic_ehvi,10,194.6295867919922,2.1912126291077425,5.915521240234409,0.01,-8.611799999999999,0.572344892190003,0.9450242914979757,271.23429361097516,3.1942648839205505
ESR2,analytic_pomhi,1,176.69973449707032,2.5397560317415344,1.240643310546875,0.002,-7.8008,0.48128409218492196,0.9702893261123892,100.6237855758518,15.468430051580071
ESR2,analytic_pomhi,2,182.76690063476562,2.8827505147957075,3.1746520996093692,0.027999999999999997,-8.474599999999999,0.525910378729681,0.9482160682101585,132.15664884969593,16.090619348734617
ESR2,analytic_pomhi,3,186.44028320312498,2.4312514294930505,3.365191650390625,0.034,-8.6364,0.5147968217862318,0.9631330418564461,123.98464213870466,15.877841657027602
ESR2,analytic_pomhi,4,187.6578857421875,2.973773305616735,3.3388244628906363,0.013999999999999999,-8.3816,0.5100660073782917,0.9676478358130589,124.06415885649622,16.114037407562137
ESR2,analytic_pomhi,5,188.84111633300782,2.8852479240032953,3.1953521728515737,0.006,-8.6336,0.5372710658697532,0.9520883789996264,176.97475039623677,16.62209436967969
ESR2,analytic_pomhi,6,191.25669860839844,2.2122245700102012,4.790060424804693,0.024,-8.5802,0.5409439440969732,0.9584691220820012,185.62496095113457,17.509275042638183
