method,n,mean_final_hv,sd_final_hv,mean_delta_vs_greedy_final_hv,sd_delta_vs_greedy_final_hv,beats_greedy_n,sem_delta_vs_greedy_final_hv
analytic_ehvi,25,206.08928161621094,11.154476663200233,3.103336791992194,2.5754167966251167,24,0.5150833593250234
analytic_pomhi,25,205.88445129394532,11.500672080636704,2.8985064697265646,2.3901000791515363,23,0.4780200158303073
greedy_mean,25,202.98594482421876,12.508508054402412,0.0,0.0,0,0.0
qnehvi_mc,25,205.97022399902343,11.272587870028051,2.984279174804689,2.3368190468603953,24,0.46736380937207905
qnparego_mc,25,203.68559020996094,11.885761448059146,0.6996453857421955,2.549717387962568,13,0.5099434775925136
random,25,194.96553100585936,11.867904113967406,-8.020413818359366,3.740648469302874,1,0.7481296938605748
