seed,target,method,round,candidate_n,selected_n,init_pool_n,hv,best_dock,mean_selected_dock,threshold_rate,train_seconds,score_seconds,labeled_n,unlabeled_n,candidate_test_n,candidate_test_rmse,candidate_test_mae,candidate_test_r2,candidate_test_nll,candidate_test_spearman,candidate_test_kendall,candidate_test_cov1,candidate_test_cov2,candidate_test_mean_std,candidate_test_std_error_spearman,source_path,greedy_final_hv,greedy_round_hv,delta_vs_greedy_final_hv,delta_vs_greedy_round_hv
42,ESR2,greedy_mean,1,2000,100,500,175.892822265625,-11.2,-7.747999999999999,0.0,120.47347559407352,7.530216045677662,600,257651,1997,0.7837275735593524,0.6195851183200276,0.2719061224932947,1.2059725732439328,0.5059528146574126,0.3599842969588715,0.7661492238357537,0.9794692038057086,0.9347999677039648,-0.0181712942721399,runs/dockstring_full_nig/seed42/ESR2/greedy_mean/trajectory.csv,190.29391479492188,175.892822265625,-14.401092529296875,0.0
42,ESR2,greedy_mean,2,2000,100,500,177.9576873779297,-11.2,-8.825999999999999,0.0,126.92883418872952,7.6635515205562115,700,255651,2000,0.7686956715573017,0.6094934922218322,0.2985970574293057,1.1438082173618205,0.5378319430232095,0.3856777276800215,0.707,0.9685,0.8053664390444756,0.1825828941457235,runs/dockstring_full_nig/seed42/ESR2/greedy_mean/trajectory.csv,190.29391479492188,177.9576873779297,-12.336227416992188,0.0
42,ESR2,greedy_mean,3,2000,100,500,184.44923400878903,-11.3,-8.78,0.01,118.29532734677196,7.604802384972572,800,253651,1998,0.7704797860162964,0.6110111646108083,0.3132560477261984,1.1213460724902562,0.5447822786959787,0.3895913101897415,0.6726726726726727,0.953953953953954,0.7484775282539524,0.2729167406556176,runs/dockstring_full_nig/seed42/ESR2/greedy_mean/trajectory.csv,190.29391479492188,184.44923400878903,-5.844680786132841,0.0
42,ESR2,greedy_mean,4,2000,100,500,187.2633514404297,-11.3,-8.882000000000001,0.0,169.26673846319318,7.526723109185696,900,251651,1998,0.7722685270378177,0.6150951604585391,0.3251568350324326,1.130954652211498,0.5494708524362486,0.3928908817743391,0.6616616616616616,0.9474474474474476,0.7353754879177751,0.2427987164761065,runs/dockstring_full_nig/seed42/ESR2/greedy_mean/trajectory.csv,190.29391479492188,187.2633514404297,-3.0305633544921875,0.0
42,ESR2,greedy_mean,5,2000,100,500,188.90509033203125,-11.6,-8.774999999999999,0.01,157.02933071926236,7.768371947109699,1000,249651,1999,0.7710454215394138,0.6001837719434974,0.2711502780355652,1.1253292489209648,0.5169790747305038,0.3710203693164121,0.673336668334167,0.950975487743872,0.7361522825912812,0.2183142667429811,runs/dockstring_full_nig/seed42/ESR2/greedy_mean/trajectory.csv,190.29391479492188,188.90509033203125,-1.388824462890625,0.0
42,ESR2,greedy_mean,6,2000,100,500,189.0673828125,-11.6,-8.821,0.0,205.1590020135045,7.792833175510168,1100,247651,2000,0.7333566774685679,0.5723066573143005,0.3245272756442375,1.0804386097742429,0.5672980050111592,0.4082009450167924,0.675,0.941,0.6953831263333559,0.1834464519304054,runs/dockstring_full_nig/seed42/ESR2/greedy_mean/trajectory.csv,190.29391479492188,189.0673828125,-1.226531982421875,0.0
42,ESR2,greedy_mean,7,2000,100,500,189.76129150390625,-11.6,-8.761,0.0,228.43294144421816,7.639568798243999,1200,245651,1998,0.7782509797207341,0.6101674141468586,0.2942035169291926,1.135470376948846,0.529594052701132,0.3810434525978688,0.6696696696696697,0.9424424424424424,0.7358521804496929,0.2549281854450212,runs/dockstring_full_nig/seed42/ESR2/greedy_mean/trajectory.csv,190.29391479492188,189.76129150390625,-0.532623291015625,0.0
42,ESR2,greedy_mean,8,2000,100,500,189.90835571289065,-11.6,-8.749,0.0,246.523781016469,7.923392917960882,1300,243651,1997,0.7572866470434706,0.5890303218251296,0.3301087241601872,1.112961267008342,0.5624567174181092,0.4079307103256715,0.6254381572358538,0.916875312969454,0.654602414751626,0.2469579717294494,runs/dockstring_full_nig/seed42/ESR2/greedy_mean/trajectory.csv,190.29391479492188,189.90835571289065,-0.3855590820312216,0.0
42,ESR2,greedy_mean,9,2000,100,500,189.92483520507807,-11.6,-8.677,0.0,261.64563650637865,8.211646385490894,1400,241651,2000,0.8033665866723738,0.6330953706741334,0.2646214235831386,1.169187296113706,0.4981891891979218,0.3549717266643952,0.6735,0.947,0.7733401573598385,0.2228577792151598,runs/dockstring_full_nig/seed42/ESR2/greedy_mean/trajectory.csv,190.29391479492188,189.92483520507807,-0.36907958984380684,0.0
42,ESR2,greedy_mean,10,2000,100,500,190.29391479492188,-11.7,-8.947000000000001,0.01,280.13810730725527,7.541121918708086,1500,239651,2000,0.7562913537000512,0.5937980144023896,0.3172651400039767,1.1190219674006054,0.5357778979517763,0.3830908996028787,0.691,0.96,0.7620775124132633,0.1794510224973439,runs/dockstring_full_nig/seed42/ESR2/greedy_mean/trajectory.csv,190.29391479492188,190.29391479492188,0.0,0.0
42,ESR2,analytic_ehvi,1,2000,100,500,175.892822265625,-11.2,-7.752999999999999,0.0,86.70124780014157,3.3740948773920536,600,257651,1997,0.7966881060096204,0.6291343514180268,0.2476259761875958,1.2391553672850426,0.48422959863834,0.3451072380955954,0.7946920380570857,0.9879819729594392,1.008791225906844,0.0315493400541814,runs/dockstring_full_nig/seed42/ESR2/analytic_ehvi/trajectory.csv,190.29391479492188,175.892822265625,-14.401092529296875,0.0
42,ESR2,analytic_ehvi,2,2000,100,500,186.68394470214844,-11.2,-8.598999999999998,0.04,126.94956014305352,3.3818372562527657,700,255651,2000,0.7757524323719638,0.6100255673408508,0.2856599426981011,1.1426927998906349,0.5250225042557528,0.3770494769171628,0.6905,0.952,0.7742367465645075,0.2319457224864306,runs/dockstring_full_nig/seed42/ESR2/analytic_ehvi/trajectory.csv,190.29391479492188,177.9576873779297,-3.6099700927734375,8.72625732421875
42,ESR2,analytic_ehvi,3,2000,100,500,189.66778564453125,-11.7,-8.788,0.04,116.87097224965692,3.0722396671772003,800,253651,1998,0.765704507730571,0.6002891338146007,0.3217422689946876,1.1213777995322822,0.5552892064791765,0.3996486906651403,0.7277277277277278,0.967967967967968,0.80355718424609,0.2702976862943306,runs/dockstring_full_nig/seed42/ESR2/analytic_ehvi/trajectory.csv,190.29391479492188,184.44923400878903,-0.626129150390625,5.218551635742216
42,ESR2,analytic_ehvi,4,2000,100,500,192.07493591308597,-11.7,-8.635000000000002,0.02,159.90931005775928,3.10602218285203,900,251651,1998,0.794739651667261,0.6208334015415714,0.2853128972568908,1.1629985721002072,0.5388675773481498,0.3866295630040406,0.7042042042042042,0.953953953953954,0.7893174226517912,0.1829350474581953,runs/dockstring_full_nig/seed42/ESR2/analytic_ehvi/trajectory.csv,190.29391479492188,187.2633514404297,1.781021118164091,4.811584472656278
