seed,target,method,reference,ref_dock,ref_qed,ref_sa,hv
42,ESR2,greedy_mean,default,0.0,0.0,-20.0,190.29391479492188
42,ESR2,greedy_mean,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,47.37242126464844
42,ESR2,greedy_mean,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,165.43043518066406
42,ESR2,analytic_ehvi,default,0.0,0.0,-20.0,196.31117248535156
42,ESR2,analytic_ehvi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,49.541351318359375
42,ESR2,analytic_ehvi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,168.60862731933594
42,ESR2,analytic_pomhi,default,0.0,0.0,-20.0,194.02955627441406
42,ESR2,analytic_pomhi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,48.725955963134766
42,ESR2,analytic_pomhi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,167.41822814941406
42,ESR2,qnehvi_mc,default,0.0,0.0,-20.0,195.61558532714844
42,ESR2,qnehvi_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,49.309818267822266
42,ESR2,qnehvi_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,168.2858123779297
42,ESR2,qnparego_mc,default,0.0,0.0,-20.0,194.88011169433594
42,ESR2,qnparego_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,48.95935821533203
42,ESR2,qnparego_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,167.7097930908203
42,ESR2,random,default,0.0,0.0,-20.0,181.59127807617188
42,ESR2,random,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,44.17402648925781
42,ESR2,random,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,158.19708251953125
42,F2,greedy_mean,default,0.0,0.0,-20.0,195.3755645751953
42,F2,greedy_mean,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,49.08876037597656
42,F2,greedy_mean,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,168.80125427246094
42,F2,analytic_ehvi,default,0.0,0.0,-20.0,197.5277862548828
42,F2,analytic_ehvi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,49.73894500732422
42,F2,analytic_ehvi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,169.92306518554688
42,F2,analytic_pomhi,default,0.0,0.0,-20.0,197.05250549316406
42,F2,analytic_pomhi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,49.477210998535156
42,F2,analytic_pomhi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,169.45277404785156
42,F2,qnehvi_mc,default,0.0,0.0,-20.0,197.656005859375
42,F2,qnehvi_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,49.80234146118164
42,F2,qnehvi_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,170.0030975341797
42,F2,qnparego_mc,default,0.0,0.0,-20.0,193.48887634277344
42,F2,qnparego_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,48.106163024902344
42,F2,qnparego_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,166.4013214111328
42,F2,random,default,0.0,0.0,-20.0,183.043701171875
42,F2,random,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,44.56064224243164
42,F2,random,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,160.4471435546875
42,JAK2,greedy_mean,default,0.0,0.0,-20.0,205.0578155517578
42,JAK2,greedy_mean,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,53.1281852722168
42,JAK2,greedy_mean,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,177.4003448486328
42,JAK2,analytic_ehvi,default,0.0,0.0,-20.0,208.28294372558594
42,JAK2,analytic_ehvi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,54.09503936767578
42,JAK2,analytic_ehvi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,178.89569091796875
42,JAK2,analytic_pomhi,default,0.0,0.0,-20.0,208.85585021972656
42,JAK2,analytic_pomhi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,54.24214172363281
42,JAK2,analytic_pomhi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,179.15200805664062
42,JAK2,qnehvi_mc,default,0.0,0.0,-20.0,208.81195068359375
42,JAK2,qnehvi_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,54.244441986083984
42,JAK2,qnehvi_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,179.143798828125
42,JAK2,qnparego_mc,default,0.0,0.0,-20.0,205.7821502685547
42,JAK2,qnparego_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,53.42103576660156
42,JAK2,qnparego_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,177.71585083007812
42,JAK2,random,default,0.0,0.0,-20.0,201.28570556640625
42,JAK2,random,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,51.34260940551758
42,JAK2,random,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,173.35763549804688
42,KIT,greedy_mean,default,0.0,0.0,-20.0,202.53457641601562
42,KIT,greedy_mean,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,52.66619873046875
42,KIT,greedy_mean,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,175.89187622070312
42,KIT,analytic_ehvi,default,0.0,0.0,-20.0,206.9736785888672
42,KIT,analytic_ehvi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,54.23585510253906
42,KIT,analytic_ehvi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,178.19729614257812
42,KIT,analytic_pomhi,default,0.0,0.0,-20.0,207.023193359375
42,KIT,analytic_pomhi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,54.216575622558594
42,KIT,analytic_pomhi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,178.17364501953125
42,KIT,qnehvi_mc,default,0.0,0.0,-20.0,206.6927490234375
42,KIT,qnehvi_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,54.095008850097656
42,KIT,qnehvi_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,178.02066040039062
42,KIT,qnparego_mc,default,0.0,0.0,-20.0,200.54063415527344
42,KIT,qnparego_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,51.80379867553711
42,KIT,qnparego_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,171.0296173095703
42,KIT,random,default,0.0,0.0,-20.0,192.05592346191406
42,KIT,random,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,48.39006805419922
42,KIT,random,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,165.49990844726562
42,PARP1,greedy_mean,default,0.0,0.0,-20.0,222.48397827148438
42,PARP1,greedy_mean,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,59.14868927001953
42,PARP1,greedy_mean,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,190.13526916503906
42,PARP1,analytic_ehvi,default,0.0,0.0,-20.0,223.16864013671875
42,PARP1,analytic_ehvi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,59.43581008911133
42,PARP1,analytic_ehvi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,190.50526428222656
42,PARP1,analytic_pomhi,default,0.0,0.0,-20.0,222.97689819335938
42,PARP1,analytic_pomhi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,59.34362030029297
42,PARP1,analytic_pomhi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,190.3837890625
42,PARP1,qnehvi_mc,default,0.0,0.0,-20.0,223.25067138671875
42,PARP1,qnehvi_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,59.48920440673828
42,PARP1,qnehvi_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,190.59054565429688
42,PARP1,qnparego_mc,default,0.0,0.0,-20.0,221.7099609375
42,PARP1,qnparego_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,58.89795684814453
42,PARP1,qnparego_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,189.56944274902344
42,PARP1,random,default,0.0,0.0,-20.0,213.75367736816406
42,PARP1,random,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,55.58950424194336
42,PARP1,random,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,184.08694458007812
43,ESR2,greedy_mean,default,0.0,0.0,-20.0,187.72463989257812
43,ESR2,greedy_mean,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,46.55624008178711
43,ESR2,greedy_mean,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,165.06015014648438
43,ESR2,analytic_ehvi,default,0.0,0.0,-20.0,191.27650451660156
43,ESR2,analytic_ehvi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,47.76442337036133
43,ESR2,analytic_ehvi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,166.9113311767578
43,ESR2,analytic_pomhi,default,0.0,0.0,-20.0,192.22689819335938
43,ESR2,analytic_pomhi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,47.878517150878906
43,ESR2,analytic_pomhi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,167.16627502441406
43,ESR2,qnehvi_mc,default,0.0,0.0,-20.0,191.51878356933594
43,ESR2,qnehvi_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,47.840152740478516
43,ESR2,qnehvi_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,167.00070190429688
43,ESR2,qnparego_mc,default,0.0,0.0,-20.0,191.9049072265625
43,ESR2,qnparego_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,48.05718994140625
43,ESR2,qnparego_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,166.16519165039062
43,ESR2,random,default,0.0,0.0,-20.0,181.3195343017578
43,ESR2,random,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,43.946224212646484
43,ESR2,random,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,158.27346801757812
43,F2,greedy_mean,default,0.0,0.0,-20.0,195.29595947265625
43,F2,greedy_mean,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,49.087162017822266
43,F2,greedy_mean,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,169.5628662109375
43,F2,analytic_ehvi,default,0.0,0.0,-20.0,196.21575927734375
43,F2,analytic_ehvi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,49.515953063964844
43,F2,analytic_ehvi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,170.11492919921875
43,F2,analytic_pomhi,default,0.0,0.0,-20.0,196.69351196289062
43,F2,analytic_pomhi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,49.57017517089844
43,F2,analytic_pomhi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,170.27090454101562
43,F2,qnehvi_mc,default,0.0,0.0,-20.0,196.5191650390625
43,F2,qnehvi_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,49.59794616699219
43,F2,qnehvi_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,170.24972534179688
43,F2,qnparego_mc,default,0.0,0.0,-20.0,193.976318359375
43,F2,qnparego_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,48.715797424316406
43,F2,qnparego_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,168.83349609375
43,F2,random,default,0.0,0.0,-20.0,182.54568481445312
43,F2,random,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,44.43412399291992
43,F2,random,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,161.36090087890625
43,JAK2,greedy_mean,default,0.0,0.0,-20.0,210.93438720703125
43,JAK2,greedy_mean,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,55.023040771484375
43,JAK2,greedy_mean,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,181.5728759765625
43,JAK2,analytic_ehvi,default,0.0,0.0,-20.0,209.41123962402344
43,JAK2,analytic_ehvi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,54.45820617675781
43,JAK2,analytic_ehvi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,179.1807403564453
43,JAK2,analytic_pomhi,default,0.0,0.0,-20.0,209.41192626953125
43,JAK2,analytic_pomhi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,54.4611930847168
43,JAK2,analytic_pomhi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,179.17398071289062
43,JAK2,qnehvi_mc,default,0.0,0.0,-20.0,211.63124084472656
43,JAK2,qnehvi_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,55.289405822753906
43,JAK2,qnehvi_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,181.9508056640625
43,JAK2,qnparego_mc,default,0.0,0.0,-20.0,210.54254150390625
43,JAK2,qnparego_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,54.895084381103516
43,JAK2,qnparego_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,181.33407592773438
43,JAK2,random,default,0.0,0.0,-20.0,201.29806518554688
43,JAK2,random,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,51.242733001708984
43,JAK2,random,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,173.3861541748047
43,KIT,greedy_mean,default,0.0,0.0,-20.0,197.22967529296875
43,KIT,greedy_mean,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,50.337554931640625
43,KIT,greedy_mean,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,171.2185821533203
43,KIT,analytic_ehvi,default,0.0,0.0,-20.0,201.152099609375
43,KIT,analytic_ehvi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,51.709049224853516
43,KIT,analytic_ehvi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,173.2981719970703
43,KIT,analytic_pomhi,default,0.0,0.0,-20.0,200.1032257080078
43,KIT,analytic_pomhi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,51.288963317871094
43,KIT,analytic_pomhi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,172.61865234375
43,KIT,qnehvi_mc,default,0.0,0.0,-20.0,201.24807739257812
43,KIT,qnehvi_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,51.7672004699707
43,KIT,qnehvi_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,173.38136291503906
43,KIT,qnparego_mc,default,0.0,0.0,-20.0,199.88619995117188
43,KIT,qnparego_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,51.22386932373047
43,KIT,qnparego_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,172.42645263671875
43,KIT,random,default,0.0,0.0,-20.0,192.60263061523438
43,KIT,random,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,48.64118576049805
43,KIT,random,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,168.23182678222656
43,PARP1,greedy_mean,default,0.0,0.0,-20.0,221.1724395751953
43,PARP1,greedy_mean,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,58.76624298095703
43,PARP1,greedy_mean,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,189.10955810546875
43,PARP1,analytic_ehvi,default,0.0,0.0,-20.0,222.0508270263672
43,PARP1,analytic_ehvi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,59.024662017822266
43,PARP1,analytic_ehvi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,189.38485717773438
43,PARP1,analytic_pomhi,default,0.0,0.0,-20.0,225.74771118164062
43,PARP1,analytic_pomhi,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,60.18915557861328
43,PARP1,analytic_pomhi,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,192.222900390625
43,PARP1,qnehvi_mc,default,0.0,0.0,-20.0,222.0214385986328
43,PARP1,qnehvi_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,58.891090393066406
43,PARP1,qnehvi_mc,adaptive_loose,-0.8000000000000007,-0.4621577152956276,-11.177604817129856,189.2292938232422
43,PARP1,qnparego_mc,default,0.0,0.0,-20.0,220.1058349609375
43,PARP1,qnparego_mc,adaptive_tight,3.6099999999999994,-0.03906329570047741,-8.124323371990899,58.2901725769043
