target_valid,sample_batch,temperature,top_k,rounds,total_sampled,valid,invalid,duplicate,excluded,validity_rate,invalid_rate,duplicate_rate,excluded_rate,iter,candidate_pool_n,generator_kind
3000,500,1.0,0,15,4693,3000,1493,76,124,0.6392499467291711,0.3181333901555508,0.0161943319838056,0.0264223311314724,0,3000,transformer_lm
3000,500,1.0,0,15,4629,3000,1445,53,131,0.6480881399870383,0.3121624540937567,0.011449557139771,0.028299848779434,1,3000,transformer_lm
3000,500,1.0,0,15,4728,3000,1514,70,144,0.6345177664974619,0.3202199661590524,0.0148054145516074,0.0304568527918781,2,3000,transformer_lm
3000,500,1.0,0,16,4761,3000,1558,62,141,0.630119722747322,0.3272421760134426,0.0130224742701113,0.0296156269691241,3,3000,transformer_lm
3000,500,1.0,0,16,4779,3000,1588,53,138,0.6277463904582549,0.3322870893492362,0.0110901862314291,0.0288763339610797,4,3000,transformer_lm
3000,500,1.0,0,14,4613,3000,1433,61,119,0.6503360069369174,0.3106438326468675,0.0132234988077173,0.0257966616084977,5,3000,transformer_lm
3000,500,1.0,0,14,4692,3000,1496,65,131,0.639386189258312,0.3188405797101449,0.01385336743393,0.0279198635976129,6,3000,transformer_lm
3000,500,1.0,0,14,4645,3000,1449,66,130,0.6458557588805167,0.3119483315392896,0.0142088266953713,0.0279870828848223,7,3000,transformer_lm
3000,500,1.0,0,16,4697,3000,1474,82,141,0.6387055567383436,0.3138173302107728,0.0174579518841813,0.0300191611667021,8,3000,transformer_lm
3000,500,1.0,0,14,4670,3000,1490,45,135,0.6423982869379015,0.3190578158458244,0.0096359743040685,0.0289079229122055,9,3000,transformer_lm
3000,500,1.0,0,15,4699,3000,1495,66,138,0.638433709299851,0.3181527984677591,0.0140455416045967,0.0293679506277931,10,3000,transformer_lm
3000,500,1.0,0,15,4669,3000,1447,81,141,0.642535874919683,0.3099164703362604,0.0173484686228314,0.0301991861212251,11,3000,transformer_lm
3000,500,1.0,0,16,4711,3000,1514,72,125,0.6368074718743366,0.3213755041392486,0.015283379324984,0.0265336446614306,12,3000,transformer_lm
3000,500,1.0,0,16,4704,3000,1510,61,133,0.6377551020408163,0.3210034013605442,0.0129676870748299,0.0282738095238095,13,3000,transformer_lm
3000,500,1.0,0,17,4593,3000,1424,52,117,0.6531678641410843,0.3100370128456347,0.0113215763117787,0.0254735467015022,14,3000,transformer_lm
3000,500,1.0,0,16,4707,3000,1515,49,143,0.6373486297004461,0.3218610579987253,0.0104100276184406,0.0303802846823879,15,3000,transformer_lm
3000,500,1.0,0,15,4678,3000,1490,66,122,0.6412997007268063,0.3185121846943138,0.0141085934159897,0.0260795211628901,16,3000,transformer_lm
3000,500,1.0,0,17,4606,3000,1435,56,115,0.6513243595310465,0.3115501519756838,0.0121580547112462,0.0249674337820234,17,3000,transformer_lm
3000,500,1.0,0,15,4628,3000,1446,64,118,0.648228176318064,0.3124459809853068,0.013828867761452,0.0254969749351771,18,3000,transformer_lm
3000,500,1.0,0,13,4635,3000,1442,50,143,0.6472491909385113,0.3111111111111111,0.010787486515641856,0.030852211434735707,19,3000,transformer_lm
