target_valid,sample_batch,temperature,top_k,rounds,total_sampled,valid,invalid,duplicate,excluded,validity_rate,invalid_rate,duplicate_rate,excluded_rate,iter,candidate_pool_n,generator_kind
3000,500,1.0,0,14,4617,3000,1440,56,121,0.649772579597141,0.3118908382066276,0.0121290881524799,0.0262074940437513,0,3000,transformer_lm
3000,500,1.0,0,15,4617,3000,1420,67,130,0.649772579597141,0.3075590210093134,0.0145115876110028,0.0281568117825427,1,3000,transformer_lm
3000,500,1.0,0,14,4714,3000,1527,52,135,0.6364022061943148,0.3239287229529062,0.0110309715740347,0.0286380992787441,2,3000,transformer_lm
3000,500,1.0,0,14,4627,3000,1452,63,112,0.6483682731791658,0.3138102442187162,0.0136157337367624,0.0242057488653555,3,3000,transformer_lm
3000,500,1.0,0,15,4698,3000,1501,59,138,0.6385696040868455,0.3194976585781183,0.0125585355470412,0.0293742017879948,4,3000,transformer_lm
3000,500,1.0,0,14,4683,3000,1475,78,130,0.6406149903907752,0.3149690369421311,0.0166559897501601,0.0277599829169335,5,3000,transformer_lm
3000,500,1.0,0,15,4744,3000,1546,56,142,0.6323777403035413,0.3258853288364249,0.0118043844856661,0.0299325463743676,6,3000,transformer_lm
3000,500,1.0,0,14,4613,3000,1433,61,119,0.6503360069369174,0.3106438326468675,0.0132234988077173,0.0257966616084977,7,3000,transformer_lm
3000,500,1.0,0,14,4722,3000,1532,63,127,0.6353240152477764,0.3244387971198644,0.0133418043202033,0.0268953833121558,8,3000,transformer_lm
3000,500,1.0,0,15,4612,3000,1422,53,137,0.6504770164787511,0.308326105810928,0.0114917606244579,0.0297051170858629,9,3000,transformer_lm
3000,500,1.0,0,14,4722,3000,1501,85,136,0.6353240152477764,0.3178737822956374,0.0180008470986869,0.0288013553578991,10,3000,transformer_lm
3000,500,1.0,0,15,4602,3000,1420,59,123,0.651890482398957,0.3085614950021729,0.0128205128205128,0.0267275097783572,11,3000,transformer_lm
3000,500,1.0,0,19,4639,3000,1447,70,122,0.6466910972192282,0.3119206725587411,0.0150894589351153,0.0262987712869152,12,3000,transformer_lm
3000,500,1.0,0,14,4693,3000,1474,73,146,0.6392499467291711,0.3140848071595994,0.0155550820370764,0.0311101640741529,13,3000,transformer_lm
3000,500,1.0,0,16,4643,3000,1464,55,124,0.6461339651087659,0.3153133749730777,0.0118457893603273,0.0267068705578289,14,3000,transformer_lm
3000,500,1.0,0,14,4646,3000,1478,44,124,0.6457167455876023,0.318123116659492,0.0094705122686181,0.0266896254842875,15,3000,transformer_lm
3000,500,1.0,0,15,4708,3000,1503,69,136,0.637213254035684,0.3192438402718776,0.0146559048428207,0.0288870008496176,16,3000,transformer_lm
3000,500,1.0,0,14,4701,3000,1501,61,139,0.6381620931716656,0.3192937672835567,0.0129759625611572,0.0295681769836205,17,3000,transformer_lm
3000,500,1.0,0,17,4648,3000,1451,66,131,0.6454388984509466,0.3121772805507745,0.0141996557659208,0.028184165232358,18,3000,transformer_lm
3000,500,1.0,0,16,4734,3000,1522,72,140,0.6337135614702155,0.32150401351922264,0.015209125475285171,0.029573299535276723,19,3000,transformer_lm
