target_valid,sample_batch,temperature,top_k,rounds,total_sampled,valid,invalid,duplicate,excluded,validity_rate,invalid_rate,duplicate_rate,excluded_rate,iter,candidate_pool_n,generator_kind
3000,500,1.0,0,14,4670,3000,1482,58,130,0.6423982869379015,0.3173447537473233,0.0124197002141327,0.0278372591006423,0,3000,transformer_lm
3000,500,1.0,0,15,4783,3000,1576,77,130,0.6272214091574325,0.3295003136107046,0.0160986828350407,0.027179594396822,1,3000,transformer_lm
3000,500,1.0,0,14,4714,3000,1527,52,135,0.6364022061943148,0.3239287229529062,0.0110309715740347,0.0286380992787441,2,3000,transformer_lm
3000,500,1.0,0,14,4684,3000,1461,67,156,0.6404782237403929,0.3119128949615713,0.0143040136635354,0.0333048676345004,3,3000,transformer_lm
3000,500,1.0,0,14,4605,3000,1429,55,121,0.6514657980456026,0.310314875135722,0.011943539630836,0.0262757871878393,4,3000,transformer_lm
3000,500,1.0,0,15,4726,3000,1524,71,131,0.6347862886161659,0.3224714346170123,0.0150232754972492,0.0277190012695725,5,3000,transformer_lm
3000,500,1.0,0,15,4753,3000,1549,60,144,0.6311803071744162,0.3258994319377235,0.0126236061434883,0.0302966547443719,6,3000,transformer_lm
3000,500,1.0,0,15,4628,3000,1437,57,134,0.648228176318064,0.3105012964563526,0.0123163353500432,0.0289541918755401,7,3000,transformer_lm
3000,500,1.0,0,16,4769,3000,1576,60,133,0.6290626965820927,0.330467603271126,0.0125812539316418,0.0278884462151394,8,3000,transformer_lm
3000,500,1.0,0,14,4639,3000,1446,71,122,0.6466910972192282,0.311705108859668,0.0153050226341884,0.0262987712869152,9,3000,transformer_lm
3000,500,1.0,0,13,4601,3000,1430,58,113,0.6520321669202347,0.3108019995653119,0.0126059552271245,0.0245598782873288,10,3000,transformer_lm
3000,500,1.0,0,16,4714,3000,1537,58,119,0.6364022061943148,0.3260500636402206,0.0123037759864234,0.0252439541790411,11,3000,transformer_lm
3000,500,1.0,0,15,4679,3000,1493,54,132,0.6411626415900834,0.3190852746313314,0.0115409275486215,0.0282111562299636,12,3000,transformer_lm
3000,500,1.0,0,15,4678,3000,1458,76,144,0.6412997007268063,0.3116716545532279,0.016246259085079,0.0307823856348867,13,3000,transformer_lm
3000,500,1.0,0,16,4599,3000,1404,69,126,0.6523157208088715,0.3052837573385518,0.015003261578604,0.0273972602739726,14,3000,transformer_lm
3000,500,1.0,0,16,4780,3000,1573,65,142,0.6276150627615062,0.3290794979079497,0.0135983263598326,0.0297071129707112,15,3000,transformer_lm
3000,500,1.0,0,16,4812,3000,1611,61,140,0.6234413965087282,0.334788029925187,0.0126766417290108,0.0290939318370739,16,3000,transformer_lm
3000,500,1.0,0,15,4688,3000,1501,48,139,0.6399317406143344,0.320179180887372,0.0102389078498293,0.0296501706484641,17,3000,transformer_lm
3000,500,1.0,0,13,4703,3000,1496,65,142,0.637890708058686,0.3180948330852647,0.0138209653412715,0.0301934935147778,18,3000,transformer_lm
3000,500,1.0,0,17,4704,3000,1509,76,119,0.6377551020408163,0.3207908163265306,0.016156462585034014,0.025297619047619048,19,3000,transformer_lm
