model,parameters,validity,uniqueness,novelty,fcd
GRU,2461862.0,0.779,0.9884467265725289,0.8383116883116883,1.2322874603800642
Transformer,5420198.0,0.737,0.9823609226594301,0.8667127071823204,1.5881700569862076
SELFIES-VAE,,0.9915,0.6476046394351992,0.9912786170378446,16.70241793851394
