panel_id,compound_id,compound_name,assay_concentration_uM,mean,std
M1,T9335,"1,1'-Methylenedi-2-naphthol",10,22.34202190793148,17.49586554519115
M2,T61189,E7016,10,41.77244069688307,32.90074354697575
M3,T12502,PLpro inhibitor,10,0.3255778964718054,10.185641144562199
M4,T6853,GSK591,10,13.831446961691377,15.660205958817123
M5,T6980,Scriptaid,10,86.36401930803014,13.200272598454601
M6,T60904,ERCC1-XPF-IN-2,10,11.88721369267404,16.6210581090791
