method,selected_true_hvi_sum_mean,selected_true_hvi_sum_std,selected_true_hvi_mean_mean,selected_true_hvi_mean_std,true_hvi_retention_mean,true_hvi_retention_std,topk_true_hvi_recall_mean,topk_true_hvi_recall_std,selected_positive_hvi_fraction_mean,selected_positive_hvi_fraction_std,score_spearman_true_hvi_mean,score_spearman_true_hvi_std,qed_mae_mean,qed_mae_std,sa_mae_mean,sa_mae_std
exact_descriptor_reference,194.09279007762854,48.33359558123741,3.881855801552571,0.9666719116247482,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
ecfp_descriptor_surrogate,117.77527558277511,45.750590284120605,2.3555055116555024,0.915011805682412,0.5969397632933846,0.15695688639657207,0.316,0.07266360849833982,0.584,0.026076809620810572,0.3181416183992146,0.03104429513061252,0.13871849948448228,0.0010244841468377568,0.31189963069821836,0.014889802611269678
random_pool_control,1.867980568169348,2.176760975148725,0.03735961136338696,0.043535219502974495,0.00952141056798708,0.010266754527885412,0.024,0.021908902300206645,0.088,0.017888543819998323,-0.009853972988174944,0.013417085354325231,0.13871849948448228,0.0010244841468377568,0.31189963069821836,0.014889802611269678
