method,n,mean_final_hv,sd_final_hv,mean_delta_vs_greedy_final_hv,sd_delta_vs_greedy_final_hv,beats_greedy_n,sem_delta_vs_greedy_final_hv,n_blocks,mean_round_delta_vs_greedy,early_round_1_3_delta_vs_greedy,late_round_8_10_delta_vs_greedy,reaches_greedy_final_n,median_labelled_n_to_greedy_final
analytic_ehvi,25,206.0892816162109,11.154476663200231,3.103336791992194,2.5754167966251167,24,0.5150833593250234,25,2.300052978515628,0.9115810139974024,2.9932952880859407,24,1100.0
analytic_pomhi,25,205.8844512939453,11.500672080636704,2.898506469726565,2.3901000791515363,23,0.4780200158303073,25,2.2514343261718754,1.2397945149739584,2.794567260742186,23,1100.0
greedy_mean,25,202.9859448242188,12.508508054402412,0.0,0.0,0,0.0,25,0.0,0.0,0.0,25,1500.0
qnehvi_mc,25,205.97022399902343,11.272587870028053,2.984279174804689,2.3368190468603958,24,0.467363809372079,25,2.42090350341797,1.4976989746093805,2.869607747395833,24,1100.0
qnparego_mc,25,203.6855902099609,11.885761448059146,0.6996453857421955,2.549717387962568,13,0.5099434775925136,25,-0.0502072143554675,-0.0542266845703132,0.2529528808593769,13,1300.0
random,25,194.96553100585936,11.867904113967406,-8.020413818359366,3.740648469302874,1,0.7481296938605748,25,-8.40598974609375,-8.323849894205726,-8.119845581054687,1,1200.0
