method,final_hv_mean,final_hv_sd,hv_gain_mean,hv_gain_sd,final_budget_mean
Independent-marginal PoMHI,195.8083312988281,3.44453658497861,14.74981079101562,2.904184165131534,801.4
GraphGA,182.26132202148438,1.6757154738026196,1.2028015136718864,0.62488883577752,801.8
JANUS,182.49567260742188,2.4588434756812547,1.437152099609392,0.8306776604799859,800.6
VAE+BO,181.44119873046876,2.5352443983323165,0.3826782226562556,0.6776750775850944,795.4
