smiles,dock,qed,sa,method
COc1ccccc1,-4.854,0.5316253154127668,1.0,GraphGA
Cc1c(O)cc2oc(-c3ccccc3)cc(=O)c2c1O,-10.078,0.710721116511046,2.2272938173694605,Independent-marginal PoMHI
Cc1ccc2c(c1O)C(=O)C(c1ccc3c(c1)OCO3)C2=O,-10.397,0.8188248130762276,2.961399132820757,Independent-marginal PoMHI
Cc1cccc2c3c(ccc12)C(=O)c1ccccc1C3=O,-10.084,0.4858969948208526,1.8981297742783223,Independent-marginal PoMHI
Nc1ccc2c(=O)c3ccccc3[nH]c(=O)c2c1,-9.83,0.5842138354297456,2.00594121784712,Independent-marginal PoMHI
O=C(CCc1ccccc1)NCCc1ccccc1,-8.012,0.8421949117661143,1.3704621303377031,Independent-marginal PoMHI
O=C(CCc1ccccc1)Nc1ccccc1,-7.966,0.8497901962037177,1.2206511972251717,Independent-marginal PoMHI
O=C(CCc1ccccc1)c1ccccc1,-8.03,0.7057251111906354,1.2893867732206736,Independent-marginal PoMHI
O=C(NCCc1ccccc1)NC(=O)c1ccccc1,-8.799,0.8940144220323348,1.4922884744365297,Independent-marginal PoMHI
O=C(NCCc1ccccc1)c1ccc2c(c1)OCO2,-8.969,0.9267152563121932,1.637701453800826,Independent-marginal PoMHI
O=C(NCc1ccccc1)c1ccccc1,-7.798,0.8303445311416687,1.1418574769849918,Independent-marginal PoMHI
O=C(Nc1ccccc1)c1ccc(S(=O)(=O)O)cc1,-8.572,0.842239981428163,1.4771775356870729,Independent-marginal PoMHI
O=C(Nc1ccccc1)c1ccccc1,-7.719,0.7874913866928777,1.0574495523703489,Independent-marginal PoMHI
O=C(O)C=Cc1ccc2c(c1)C(=O)c1ccccc1C2=O,-9.658,0.731175691412651,2.0160968146955334,Independent-marginal PoMHI
O=C(O)NC(=O)CCc1ccc2ccccc2c1,-8.993,0.8701860534430225,1.8442914440914608,Independent-marginal PoMHI
O=C(O)c1ccc(C(=O)c2ccccc2)cc1,-8.345,0.8182684799435559,1.3497463895328643,Independent-marginal PoMHI
O=C(O)c1ccc2c(c1)C(=O)c1ccccc1C2=O,-9.711,0.7199580997445955,1.7595162875012953,Independent-marginal PoMHI
O=C(O)c1ccc2c(c1)OC(c1ccccc1)CC2=O,-9.651,0.9085999324355492,2.4357872873634285,Independent-marginal PoMHI
O=C(O)c1cccc(CCc2ccccc2)c1,-8.395,0.8689745195712831,1.414435184666301,Independent-marginal PoMHI
O=C(O)c1ccccc1C(=O)OCc1ccccc1,-8.476,0.8541582872901466,1.4706489435245178,Independent-marginal PoMHI
O=C(O)c1ccccc1C(=O)c1ccccc1,-8.619,0.8182684799435559,1.4166838895328624,Independent-marginal PoMHI
O=C(O)c1ccccc1Cc1ccccc1,-8.455,0.8487726130244938,1.4172598465857895,Independent-marginal PoMHI
O=C(OCc1ccccc1)c1ccccc1C(=O)c1ccccc1,-9.595,0.521206781026279,1.562676760033975,Independent-marginal PoMHI
O=C(c1ccc(C=Cc2ccccc2)cc1)N1CCCCC1,-9.424,0.7633317250888477,1.698539925234094,Independent-marginal PoMHI
O=C(c1ccccc1)c1ccc(Oc2ccccc2)cc1,-9.119,0.6439294662191006,1.409201684948297,Independent-marginal PoMHI
O=C1C(=O)c2c(O)cc(O)cc2C(=O)c2ccccc21,-10.087,0.7094795864367645,2.1698581730138145,Independent-marginal PoMHI
O=C1C(Cc2ccc3c(c2)OCO3)C(O)C1c1ccc2c(c1)OCO2,-10.179,0.9215511834586432,3.537772025012199,GraphGA
O=C1C=C(Cc2ccccc2)OCc2ccc(F)c(O)c21,-9.928,0.9193301109674468,2.6987051588937074,JANUS
O=C1C=C(OCc2ccccc2)OCc2ccc(F)c(O)c21,-9.321,0.944616435663492,2.726085994549395,JANUS
O=C1C=C(c2ccccc2)Oc2cc3c(cc2C1)OCO3,-10.2,0.805291940197786,2.495675878496685,Independent-marginal PoMHI
O=C1C=C2C[C@H]3O[C@@H](Cc4ccc(O)cc4)C2=C3C(=O)CC1,-10.378,0.908977412490718,4.7462892763188,Independent-marginal PoMHI
O=C1CC(c2ccc3c(c2)OCO3)OC1c1ccc(O)cc1,-10.133,0.923195823320572,3.272081392567827,Independent-marginal PoMHI
O=C1CCC2C(c3ccc4c(c3)OCO4)N2CCCC1c1ccccc1,-11.584,0.7663730681146426,3.960427291661463,Independent-marginal PoMHI
O=C1CC[C@H](c2ccccc2)Oc2cc(O)cc(O)c21,-10.327,0.8347168410275041,2.7497597569990546,Independent-marginal PoMHI
O=C1C[C@@H](c2ccc3c(=O)c4ccccc4[nH]c3c2)NCCc2ccccc21,-11.835,0.4964851881583415,2.868606675619546,Independent-marginal PoMHI
O=C1N=CN(C2CCc3[nH]c4ccccc4c3C2)Oc2ccccc21,-11.163,0.7422992522399553,3.475294847636542,Independent-marginal PoMHI
O=C1NCc2ccccc2C(=O)c2c1[nH]c1ccccc21,-10.772,0.6627566386969104,2.312694818414516,Independent-marginal PoMHI
O=C1Nc2ccccc2C1=Nc1c[nH]c2ccccc2c1=O,-10.3,0.7222773055005623,2.6075836937252195,Independent-marginal PoMHI
O=C1OC(c2ccc(O)cc2)C2CCN1Cc1c(ccc3c1OCO3)C2,-11.595,0.8512166904117812,4.164225798080054,Independent-marginal PoMHI
O=C1c2c(c3cccnc3ccc2=O)CCN1Cc1ccc(O)c(O)c1,-10.747,0.6930629196016724,2.5404654561996267,Independent-marginal PoMHI
O=C1c2c(ccc(F)c2O)COC1CCc1ccccc1,-9.886,0.9418133042690732,3.0087920759669124,JANUS
O=C1c2ccccc2CCN1CCc1ccc(O)cc1,-9.098,0.928375182452619,1.8900311800068224,Independent-marginal PoMHI
O=C1c2ccccc2CCc2ccc(CCO)cc21,-9.571,0.8915109087897413,2.019930901566476,Independent-marginal PoMHI
