method,smiles,dock,qed,sa,on_front_dock_qed,on_front_dock_sa
GraphGA,CCc1ccccc1,-5.486,0.5147578217927745,1.0,False,True
GraphGA,COc1cc2cc(C3=CC(C)=CC(O)C3)oc2cc1OC,-8.527,0.9372297356066744,3.212274722642271,True,False
GraphGA,COc1ccc2c(ccc3c4cc5c(cc4ccc23)OCO5)c1C,-9.409,0.4521742171898776,2.20903104574826,False,True
GraphGA,COc1cccc2c3c(ccc12)C1=C(CCO1)C(=O)C3=O,-9.717,0.7536545192352142,2.635811312739863,False,True
GraphGA,Cc1cc(O)cc2ccc3ccccc3c12,-8.951,0.5533399004339463,1.882996301435288,False,True
GraphGA,Cc1ccc2oc3cc4c(c(O)c3c(=O)c2c1)OCO4,-9.618,0.6359158232464978,2.500460734662692,False,True
GraphGA,N=CC1=c2ccc3c(ccc4cc5c(cc43)OCO5)c2=CC1O,-10.506,0.5309210231862832,3.709354439760012,True,True
GraphGA,O=C(CCc1ccccc1)c1ccc(O)cc1O,-8.642,0.8103327099635664,1.7527086386615984,False,True
GraphGA,O=C(Cc1ccccc1)c1ccccc1,-7.926,0.6892083504650645,1.2562425593633575,False,True
GraphGA,O=C(O)c1ccc2oc(CCc3ccccc3)cc(=O)c2c1OO,-9.411,0.5521183021702731,2.4712407225420545,False,True
GraphGA,O=C1C(Cc2ccc3c(c2)OCO3)C(O)C1c1ccc2c(c1)OCO2,-10.179,0.9215511834586432,3.537772025012199,True,False
GraphGA,O=C1C=C(SOc2c3ccoc3cc3oc(=O)ccc23)C(=O)c2ccccc21,-10.306,0.3751203297231117,3.033756262611381,False,True
GraphGA,Oc1cc(F)cc2ccc3ccccc3c12,-9.108,0.5611878632585718,1.9028504820372945,False,True
GraphGA,Oc1ccc2c(ccc3ccccc32)c1,-8.627,0.540858097607516,1.6194492027200005,False,True
GraphGA,c1ccc(-c2ccc3c(c2)OCO3)cc1,-8.185,0.7006224353057801,1.521850041880839,False,True
GraphGA,c1ccc(COc2ccccc2)cc1,-7.173,0.7109826240797367,1.0865509153624693,False,True
VAE+BO,CC(=O)c1cccc2c(O)cccc3c(o1)c23,-8.737,0.6459188822893128,2.26054927414825,False,True
VAE+BO,CC(O)Cc1cc(O)ccc1C(=O)CCc1ccccc1CO,-8.792,0.6865908825525514,2.7664712092778085,False,True
VAE+BO,CC1=CC2CC(O)(CC(=O)OC3=C4CC(=O)C=COC43)CC(C=C1)O2,-9.936,0.7871028513371422,5.996936641456339,True,False
VAE+BO,CC1C=CC[CH][C@H](C23C[C](O)C4[C]2C(=O)C2C(=O)N[C@@H]3C[C@H]4C[C@@H]2O)C1,-11.205,0.4934186978516267,7.084797331383584,True,True
VAE+BO,CC=C1CCc2cc(O)cc(O)c2C(=O)OC1=O,-8.821,0.414276158717436,2.962782144987205,False,True
VAE+BO,CCOc1cc(O)ccc1Cl,-6.14,0.7427630917508365,1.6916757209126132,False,True
VAE+BO,COC(=O)CCc1ccccc1O,-6.706,0.716793358937884,1.697343596162673,False,True
VAE+BO,Nc1ccc(O)cc1,-5.105,0.3849667558355937,1.5975649736715631,False,True
VAE+BO,O=C1C=C2C[C@@H]3CC(c4cc(O)ccc43)C2CC1,-10.145,0.7552989343617464,4.48414330513478,False,True
VAE+BO,O=C1C=CC2=C1CC[C]1CC([CH][C@@H]3CC=CC(O)C3)[C][C@@H](O)CC12,-10.384,0.7680616058255905,5.788287712547973,True,True
VAE+BO,O=C1COCc2ccccc2C=CC=CCO1,-9.562,0.6415768736489357,3.351660114298376,False,True
VAE+BO,O=C1[CH]C=CC=CN=C2Oc3ccc(O)cc3N12,-9.936,0.7523994044906495,4.04204985785802,False,True
VAE+BO,O=C1c2c(O)cccc2N1CCC=C1C2=C1OC=CC=C2,-9.504,0.9248308386503108,3.368781829763821,True,False
VAE+BO,O=c1cc1,-3.387,0.4046562659304246,1.4650615080064426,False,True
VAE+BO,Oc1ccc2c(c1)Cc1ccccc1-2,-8.262,0.5663486921772619,1.825298221714652,False,True
